"svspp","stocks","biomass","treatment","year","total","ztotal"
"36","unit","yes","NYY","1976","0",NA
"36","unit","yes","NYY","1977","0",NA
"36","unit","yes","NYY","1978",NA,NA
"36","unit","yes","NYY","1979","0",NA
"36","unit","yes","NYY","1980","0",NA
"36","unit","yes","NYY","1981",NA,NA
"36","unit","yes","NYY","1982","0",NA
"36","unit","yes","NYY","1983","0",NA
"36","unit","yes","NYY","1984","0",NA
"36","unit","yes","NYY","1985","0",NA
"36","unit","yes","NYY","1986","93885.2140413266","93885.2140413266"
"36","unit","yes","NYY","1987","23961.5856624056","23961.5856624056"
"36","unit","yes","NYY","1988","0",NA
"36","unit","yes","NYY","1989","10548.5456285892","10548.5456285892"
"36","unit","yes","NYY","1990","15584.0420814512","15584.0420814512"
"36","unit","yes","NYY","1991","0",NA
"36","unit","yes","NYY","1992","81189.5893707402","81189.5893707402"
"36","unit","yes","NYY","1993","53165.5698330468","53165.5698330468"
"36","unit","yes","NYY","1994","0",NA
"36","unit","yes","NYY","1995","0",NA
"36","unit","yes","NYY","1996","0",NA
"36","unit","yes","NYY","1997","34719.547351278","34719.547351278"
"36","unit","yes","NYY","1998","0",NA
"36","unit","yes","NYY","1999","0",NA
"36","unit","yes","NYY","2000","0",NA
"36","unit","yes","NYY","2001","0",NA
"36","unit","yes","NYY","2002","3532.24050686","3532.24050686"
"36","unit","yes","NYY","2003","0",NA
"36","unit","yes","NYY","2004","0",NA
"36","unit","yes","NYY","2005","0",NA
"36","unit","yes","NYY","2006","0",NA
"36","unit","yes","NYY","2007","0",NA
"36","unit","yes","NYY","2008","191.003570138474","191.003570138474"
"36","unit","yes","NYY","2009","0",NA
"36","unit","yes","NYY","2010","0",NA
"36","unit","yes","NYY","2011","0",NA
"36","unit","yes","NYY","2012","15263.4258075815","15263.4258075815"
"36","unit","yes","NYY","2013","221191.157862728","221191.157862728"
"36","unit","yes","NYY","2014",NA,NA
"36","unit","yes","NYY","2015","0",NA
"36","unit","yes","NYY","2016","0",NA
"36","unit","yes","NYY","2017","39818.304134717","39818.304134717"
"36","unit","yes","NYY","2018","0",NA
"36","unit","yes","YYY","1976","0",NA
"36","unit","yes","YYY","1977","0",NA
"36","unit","yes","YYY","1978","0",NA
"36","unit","yes","YYY","1979","0",NA
"36","unit","yes","YYY","1980","0",NA
"36","unit","yes","YYY","1981","0",NA
"36","unit","yes","YYY","1982","0",NA
"36","unit","yes","YYY","1983","0",NA
"36","unit","yes","YYY","1984","0",NA
"36","unit","yes","YYY","1985","0",NA
"36","unit","yes","YYY","1986","107924.13155191","107924.13155191"
"36","unit","yes","YYY","1987","27630.9451913094","27630.9451913094"
"36","unit","yes","YYY","1988","0",NA
"36","unit","yes","YYY","1989","12110.2282025385","12110.2282025385"
"36","unit","yes","YYY","1990","17896.5586137775","17896.5586137775"
"36","unit","yes","YYY","1991","0",NA
"36","unit","yes","YYY","1992","93400.944187464","93400.944187464"
"36","unit","yes","YYY","1993","61130.5588039806","61130.5588039806"
"36","unit","yes","YYY","1994","0",NA
"36","unit","yes","YYY","1995","0",NA
"36","unit","yes","YYY","1996","0",NA
"36","unit","yes","YYY","1997","39863.845920573","39863.845920573"
"36","unit","yes","YYY","1998","0",NA
