"","Location","Y","M","D","DayStart","Date","Percent","Summary.Type","Mission","Mean","SE","n.pixels"
"1","gbk",1963,10,11,66596,284,1,"normal","BT",10.4849100440701,1.91258540648202,566
"2","gbk",1964,10,11,66596,285,1,"normal","BT",9.75078656253766,1.63067887931888,566
"3","gbk",1965,10,11,66596,284,1,"normal","BT",10.880950954069,2.1846693988022,566
"4","gbk",1966,10,11,66596,284,1,"normal","BT",10.06535709119,2.01895599537124,566
"5","gbk",1967,10,11,66596,284,1,"normal","BT",10.1954767555013,1.81755983399511,566
"6","gbk",1968,10,11,66596,285,1,"normal","BT",12.2035677481674,1.98012102571133,566
"7","gbk",1969,10,11,66596,284,1,"normal","BT",11.8264426726214,2.10497525591189,566
"8","gbk",1970,10,11,66596,284,1,"normal","BT",10.9187347955552,1.4074183939174,566
"9","gbk",1971,10,11,66596,284,1,"normal","BT",12.1798702430622,2.46911510511573,566
"10","gbk",1972,10,11,66596,285,1,"normal","BT",12.446424404958,2.01328037469604,566
"11","gbk",1973,10,11,66596,284,1,"normal","BT",13.1474899332277,2.09374532981503,566
"12","gbk",1974,10,11,66596,284,1,"normal","BT",13.0420758692808,1.93110440986296,566
"13","gbk",1975,10,11,66596,284,1,"normal","BT",11.9024518031346,1.9438814353154,566
"14","gbk",1976,10,11,66596,285,1,"normal","BT",13.3194209790673,1.91404447929315,566
"15","gbk",1977,10,11,66596,284,1,"normal","BT",12.7624946644302,2.19283020914406,566
"16","gbk",1978,10,11,66596,284,1,"normal","BT",11.5248291017683,2.27684641565674,566
"17","gbk",1979,10,11,66596,284,1,"normal","BT",13.0491182108479,1.97700368331829,566
"18","gbk",1980,10,11,66596,285,1,"normal","BT",12.9762682226363,2.1598622813314,566
"19","gbk",1981,10,11,66596,284,1,"normal","BT",11.6643630991159,2.13912820879512,566
"20","gbk",1982,10,11,66596,284,1,"normal","BT",12.0187053931202,2.14274993458395,566
"21","gbk",1983,10,11,66596,284,1,"normal","BT",11.8811344275244,2.36860363592533,566
"22","gbk",1984,10,11,66596,285,1,"normal","BT",12.6253071285835,1.79764879217727,566
"23","gbk",1985,10,11,66596,284,1,"normal","BT",13.7439874669231,1.74966569602999,566
"24","gbk",1986,10,11,66596,284,1,"normal","BT",12.8297663868551,1.92616631142886,566
"25","gbk",1987,10,11,66596,284,1,"normal","BT",11.1810956406427,1.84563288749927,566
"26","gbk",1988,10,11,66596,285,1,"normal","BT",11.0666754626661,1.82165571139931,566
"27","gbk",1989,10,11,66596,284,1,"normal","BT",11.8353933077344,2.46791924383011,566
"28","gbk",1990,10,11,66596,284,1,"normal","BT",12.9096913290087,1.77003406794609,566
"29","gbk",1991,10,11,66596,284,1,"normal","BT",12.3837044119077,2.30137622405143,566
"30","gbk",1992,10,11,66596,285,1,"normal","BT",12.1518165893904,2.22469887605025,566
"31","gbk",1993,10,11,66596,284,1,"normal","BT",12.2015786647885,2.30013138470914,566
"32","gbk",1994,10,11,66596,284,1,"normal","BT",12.78782143347,2.1235350669947,566
"33","gbk",1995,10,11,66596,284,1,"normal","BT",13.8526995569971,2.84040201065137,566
"34","gbk",1996,10,11,66596,285,1,"normal","BT",10.8799868763007,1.94295664066318,566
"35","gbk",1997,10,11,66596,284,1,"normal","BT",12.6980734847022,2.50267325250092,566
"36","gbk",1998,10,11,66596,284,1,"normal","BT",11.5919256509327,2.51896109745127,566
"37","gbk",1999,10,11,66596,284,1,"normal","BT",14.3015024005763,2.21433716704646,566
"38","gbk",2000,10,11,66596,285,1,"normal","BT",12.3034215718384,2.23166665478936,566
"39","gbk",2001,10,11,66596,284,1,"normal","BT",12.3638423046845,2.38847907950942,566
"40","gbk",2002,10,11,66596,284,1,"normal","BT",13.6017122282061,2.401319915489,566
"41","gbk",2003,10,11,66596,284,1,"normal","BT",11.7781233553673,2.5779651831988,566
"42","gbk",2004,10,11,66596,285,1,"normal","BT",11.2707508809221,2.64064785300502,566
"43","gbk",2005,10,11,66596,284,1,"normal","BT",12.2378390559729,2.35928141945878,566
"44","gbk",2006,10,11,66596,284,1,"normal","BT",12.4216335641304,2.44520280053814,566
"45","gbk",2007,10,11,66596,284,1,"normal","BT",11.5698365032589,2.73735538467137,566
"46","gbk",2008,10,11,66596,285,1,"normal","BT",13.549595081333,1.78246801607224,566
"47","gbk",2009,10,11,66596,284,1,"normal","BT",12.8638841803383,1.96945936328886,566
"48","gbk",2010,10,11,66596,284,1,"normal","BT",13.0773510043015,2.12952881341786,566
"49","gbk",2011,10,11,66596,284,1,"normal","BT",13.3389065990305,2.43455445210753,566
"50","gbk",2012,10,11,66596,285,1,"normal","BT",14.1246315607349,2.32531570161132,566
"51","gbk",2013,10,11,66596,284,1,"normal","BT",12.9600965208048,1.79958433453187,566
"52","gbk",2014,10,11,66596,284,1,"normal","BT",14.0823778282385,2.46554088492877,566
"53","gbk",2015,10,11,66596,284,1,"normal","BT",13.8055071274462,2.52102789887961,566
"54","gbk",2016,10,11,66596,285,1,"normal","BT",14.5896952059588,2.75131838002527,566
"55","gbk",2017,10,11,66596,284,1,"normal","BT",13.4804348210635,1.91761856826545,566
"110","gome",1963,10,11,66596,284,1,"normal","BT",6.85695372904977,0.802189794348442,463
"210","gome",1964,10,11,66596,285,1,"normal","BT",5.95533830233521,0.713517333237751,463
"310","gome",1965,10,11,66596,284,1,"normal","BT",6.24666581291526,0.761528300746401,463
"410","gome",1966,10,11,66596,284,1,"normal","BT",5.99334083549449,0.816250743862313,463
"56","gome",1967,10,11,66596,284,1,"normal","BT",6.64816123518828,1.02247399208318,463
"61","gome",1968,10,11,66596,285,1,"normal","BT",7.9505015072697,1.10779273507058,463
"71","gome",1969,10,11,66596,284,1,"normal","BT",8.27747464612026,1.18733030789897,463
"81","gome",1970,10,11,66596,284,1,"normal","BT",7.47408150671528,0.68896744854086,463
"91","gome",1971,10,11,66596,284,1,"normal","BT",8.43242420386809,0.925868797351683,463
"101","gome",1972,10,11,66596,285,1,"normal","BT",8.59962716934685,0.841463619410706,463
"111","gome",1973,10,11,66596,284,1,"normal","BT",9.11057104337621,1.17345714801055,463
"121","gome",1974,10,11,66596,284,1,"normal","BT",9.59988126076571,1.19481571733925,463
"131","gome",1975,10,11,66596,284,1,"normal","BT",8.66079849280077,0.930196700966702,463
"141","gome",1976,10,11,66596,285,1,"normal","BT",9.25328786912693,1.00736181829293,463
"151","gome",1977,10,11,66596,284,1,"normal","BT",8.74233404296045,1.03489691204108,463
"161","gome",1978,10,11,66596,284,1,"normal","BT",7.88286957904123,1.05614011848029,463
"171","gome",1979,10,11,66596,284,1,"normal","BT",8.69309483430634,1.17628739830043,463
"181","gome",1980,10,11,66596,285,1,"normal","BT",8.49866611334503,1.23610831901747,463
"191","gome",1981,10,11,66596,284,1,"normal","BT",7.94993037248923,1.11759604936108,463
"201","gome",1982,10,11,66596,284,1,"normal","BT",8.11751855484167,1.1326663797135,463
"211","gome",1983,10,11,66596,284,1,"normal","BT",8.65632346807874,1.10577746679633,463
"221","gome",1984,10,11,66596,285,1,"normal","BT",9.29790399352173,1.12615700117981,463
"231","gome",1985,10,11,66596,284,1,"normal","BT",10.0291641936848,1.25418509436702,463
"241","gome",1986,10,11,66596,284,1,"normal","BT",9.16627151187028,1.20005934223186,463
"251","gome",1987,10,11,66596,284,1,"normal","BT",8.31403310296631,1.02772417073271,463
"261","gome",1988,10,11,66596,285,1,"normal","BT",7.91399780322887,0.945419838460436,463
"271","gome",1989,10,11,66596,284,1,"normal","BT",7.95866570239425,1.64486701373164,463
"281","gome",1990,10,11,66596,284,1,"normal","BT",8.29862263273695,1.38875039400949,463
"291","gome",1991,10,11,66596,284,1,"normal","BT",8.86556463536769,1.15917366873251,463
"301","gome",1992,10,11,66596,285,1,"normal","BT",8.51600843611016,1.18532161569151,463
"311","gome",1993,10,11,66596,284,1,"normal","BT",8.2939674967029,1.30161714580755,463
"321","gome",1994,10,11,66596,284,1,"normal","BT",9.43864140944945,1.08497163741943,463
"331","gome",1995,10,11,66596,284,1,"normal","BT",9.153703495544,1.40574796129781,463
"341","gome",1996,10,11,66596,285,1,"normal","BT",8.28425067201068,0.878687160674446,463
"351","gome",1997,10,11,66596,284,1,"normal","BT",8.85302710949561,1.19359752472822,463
"361","gome",1998,10,11,66596,284,1,"normal","BT",7.56590046453085,1.11200061883754,463
"371","gome",1999,10,11,66596,284,1,"normal","BT",9.85702980731504,1.11656602989178,463
"381","gome",2000,10,11,66596,285,1,"normal","BT",9.08655818689518,1.15432586256647,463
"391","gome",2001,10,11,66596,284,1,"normal","BT",8.67029719768421,0.999110043291739,463
"401","gome",2002,10,11,66596,284,1,"normal","BT",9.5501327228576,1.3175233647402,463
"411","gome",2003,10,11,66596,284,1,"normal","BT",8.73923916097032,1.12036432526471,463
"421","gome",2004,10,11,66596,285,1,"normal","BT",7.73679716825092,1.22297691197098,463
"431","gome",2005,10,11,66596,284,1,"normal","BT",8.52989276987313,1.12993221097928,463
"441","gome",2006,10,11,66596,284,1,"normal","BT",9.38235544374202,1.16940226386049,463
"451","gome",2007,10,11,66596,284,1,"normal","BT",7.80669730272053,1.06973002094276,463
"461","gome",2008,10,11,66596,285,1,"normal","BT",9.18221211856178,1.28261985479728,463
"471","gome",2009,10,11,66596,284,1,"normal","BT",9.46184964936952,1.31538694866864,463
"481","gome",2010,10,11,66596,284,1,"normal","BT",9.71720998879322,1.15360485697709,463
"491","gome",2011,10,11,66596,284,1,"normal","BT",9.53195234360303,1.15678946988969,463
"501","gome",2012,10,11,66596,285,1,"normal","BT",9.98272386156542,1.28293371132227,463
"511","gome",2013,10,11,66596,284,1,"normal","BT",9.67920527717907,0.884296342596322,463
"521","gome",2014,10,11,66596,284,1,"normal","BT",10.2426730033357,1.39075726541563,463
"531","gome",2015,10,11,66596,284,1,"normal","BT",9.39112693152049,1.2586871552602,463
"541","gome",2016,10,11,66596,285,1,"normal","BT",10.58162717747,1.23387001849179,463
"551","gome",2017,10,11,66596,284,1,"normal","BT",9.97506244201623,1.11131958490731,463
"112","gomw",1963,10,11,66596,284,1,"normal","BT",7.2424713430413,1.50775945562567,585
"212","gomw",1964,10,11,66596,285,1,"normal","BT",5.92527297771474,1.57121910671926,585
"312","gomw",1965,10,11,66596,284,1,"normal","BT",5.66587887699573,1.58996448482507,585
"412","gomw",1966,10,11,66596,284,1,"normal","BT",5.27946304127952,1.59688155345454,585
"57","gomw",1967,10,11,66596,284,1,"normal","BT",6.44591644472661,1.66946124165584,585
"62","gomw",1968,10,11,66596,285,1,"normal","BT",7.20352224968963,1.87328654912636,585
"72","gomw",1969,10,11,66596,284,1,"normal","BT",8.22712688178582,1.82152326797895,585
"82","gomw",1970,10,11,66596,284,1,"normal","BT",7.76307752951101,1.37388074468467,585
"92","gomw",1971,10,11,66596,284,1,"normal","BT",8.35944200480247,1.64556642167621,585
"102","gomw",1972,10,11,66596,285,1,"normal","BT",8.32791809827257,1.77445237115445,585
"113","gomw",1973,10,11,66596,284,1,"normal","BT",8.4423843830721,1.72623004285495,585
"122","gomw",1974,10,11,66596,284,1,"normal","BT",8.75300364661859,1.65166744634709,585
"132","gomw",1975,10,11,66596,284,1,"normal","BT",7.8909894303122,1.59187180536742,585
"142","gomw",1976,10,11,66596,285,1,"normal","BT",8.78961560818914,1.5612130315649,585
"152","gomw",1977,10,11,66596,284,1,"normal","BT",8.13548769151365,1.83603120506929,585
"162","gomw",1978,10,11,66596,284,1,"normal","BT",7.11040288503386,1.8224517510114,585
"172","gomw",1979,10,11,66596,284,1,"normal","BT",7.60458415698671,1.82414137616314,585
"182","gomw",1980,10,11,66596,285,1,"normal","BT",7.64328526320951,1.81587028807566,585
"192","gomw",1981,10,11,66596,284,1,"normal","BT",7.55821468851487,1.87887616676334,585
"202","gomw",1982,10,11,66596,284,1,"normal","BT",8.18896535667646,1.86821997531955,585
"213","gomw",1983,10,11,66596,284,1,"normal","BT",8.25407125120274,1.75181491954284,585
"222","gomw",1984,10,11,66596,285,1,"normal","BT",8.63285536291354,1.54559434058357,585
"232","gomw",1985,10,11,66596,284,1,"normal","BT",9.96258427113199,1.91614920913711,585
"242","gomw",1986,10,11,66596,284,1,"normal","BT",9.13616498811781,1.75899437702748,585
"252","gomw",1987,10,11,66596,284,1,"normal","BT",7.63074653760068,1.56822648127785,585
"262","gomw",1988,10,11,66596,285,1,"normal","BT",7.34667221420407,1.62315965302929,585
"272","gomw",1989,10,11,66596,284,1,"normal","BT",8.06468871407297,2.13626467206538,585
"282","gomw",1990,10,11,66596,284,1,"normal","BT",8.46772070428857,1.99127462162413,585
"292","gomw",1991,10,11,66596,284,1,"normal","BT",7.89046369004929,1.74434956687925,585
"302","gomw",1992,10,11,66596,285,1,"normal","BT",7.36227274832383,1.70682168696172,585
"313","gomw",1993,10,11,66596,284,1,"normal","BT",7.53124848492293,1.75598278707537,585
