"","Location","Y","M","D","DayStart","Date","Percent","Summary.Type","Mission","Mean","SE","n.pixels"
"1","gbk",1968,4,3,66596,94,1,"normal","ST",4.15288628716671,0.869403837638015,566
"2","gbk",1969,4,3,66596,93,1,"normal","ST",5.73811171312363,1.03064700344933,566
"3","gbk",1970,4,3,66596,93,1,"normal","ST",4.40733184134258,0.513562326010802,566
"4","gbk",1971,4,3,66596,93,1,"normal","ST",4.77594199666035,0.700908843863636,566
"5","gbk",1972,4,3,66596,94,1,"normal","ST",5.07429163245854,1.12691597614472,566
"6","gbk",1973,4,3,66596,93,1,"normal","ST",4.5712613252873,0.879875121007063,566
"7","gbk",1974,4,3,66596,93,1,"normal","ST",5.37962507974435,0.882639092053443,566
"8","gbk",1975,4,3,66596,93,1,"normal","ST",4.07503418740861,0.974684805844639,566
"9","gbk",1976,4,3,66596,94,1,"normal","ST",6.11179635185559,0.805462075259968,566
"10","gbk",1977,4,3,66596,93,1,"normal","ST",5.34584641320753,1.0269563260825,566
"11","gbk",1978,4,3,66596,93,1,"normal","ST",3.52341410694106,0.602088887899685,566
"12","gbk",1979,4,3,66596,93,1,"normal","ST",4.3484275622722,0.705102802417736,566
"13","gbk",1980,4,3,66596,94,1,"normal","ST",4.5609007093947,0.938329086519836,566
"14","gbk",1981,4,3,66596,93,1,"normal","ST",3.9989004455939,0.51058014164113,566
"15","gbk",1982,4,3,66596,93,1,"normal","ST",3.76858996434931,0.622705176997407,566
"16","gbk",1983,4,3,66596,93,1,"normal","ST",5.50712829682604,1.1602138539343,566
"17","gbk",1984,4,3,66596,94,1,"normal","ST",5.54834069013771,1.00459403408887,566
"18","gbk",1985,4,3,66596,93,1,"normal","ST",5.97388238062868,1.12903269940107,566
"19","gbk",1986,4,3,66596,93,1,"normal","ST",5.74437006722022,1.2997379125895,566
"20","gbk",1987,4,3,66596,93,1,"normal","ST",4.88982676390556,1.66262593482796,566
"21","gbk",1988,4,3,66596,94,1,"normal","ST",5.06388401942759,0.757863558773149,566
"22","gbk",1989,4,3,66596,93,1,"normal","ST",5.51339849292396,0.716811785375171,566
"23","gbk",1990,4,3,66596,93,1,"normal","ST",5.87001316539579,0.794848941792725,566
"24","gbk",1991,4,3,66596,93,1,"normal","ST",5.93576413290173,0.834115378188399,566
"25","gbk",1992,4,3,66596,94,1,"normal","ST",4.30857584523837,0.888058163988428,566
"26","gbk",1993,4,3,66596,93,1,"normal","ST",4.27424725852498,1.19206583516324,566
"27","gbk",1994,4,3,66596,93,1,"normal","ST",5.15821165649781,0.979216031326865,566
"28","gbk",1995,4,3,66596,93,1,"normal","ST",5.18243362936066,1.10378628988983,566
"29","gbk",1996,4,3,66596,94,1,"normal","ST",3.87290059844986,0.443081666219635,566
"30","gbk",1997,4,3,66596,93,1,"normal","ST",5.11743889579625,0.710615829306867,566
"31","gbk",1998,4,3,66596,93,1,"normal","ST",5.61401826006324,0.659904651379038,566
"32","gbk",1999,4,3,66596,93,1,"normal","ST",5.57897283266544,0.809146280792505,566
"33","gbk",2000,4,3,66596,94,1,"normal","ST",6.1171365335888,0.931484536426303,566
"34","gbk",2001,4,3,66596,93,1,"normal","ST",5.14990165949805,0.537162504588916,566
"35","gbk",2002,4,3,66596,93,1,"normal","ST",6.22234911404312,0.730980329396727,566
"36","gbk",2003,4,3,66596,93,1,"normal","ST",4.32040293967571,0.803770620691033,566
"37","gbk",2004,4,3,66596,94,1,"normal","ST",4.21671788948739,0.888395072074444,566
"38","gbk",2005,4,3,66596,93,1,"normal","ST",4.44789361034803,0.688976753394666,566
"39","gbk",2006,4,3,66596,93,1,"normal","ST",5.50919249895515,0.980519614409078,566
"40","gbk",2007,4,3,66596,93,1,"normal","ST",4.85498269490418,0.652979517150924,566
"41","gbk",2008,4,3,66596,94,1,"normal","ST",5.0454182841398,0.648172387884637,566
"42","gbk",2009,4,3,66596,93,1,"normal","ST",4.94958284077522,0.957911860398933,566
"43","gbk",2010,4,3,66596,93,1,"normal","ST",6.27049501217284,1.30326177685069,566
"44","gbk",2011,4,3,66596,93,1,"normal","ST",5.20415750928235,0.553018501869946,566
"45","gbk",2012,4,3,66596,94,1,"normal","ST",7.02525793527016,0.641806890906622,566
"46","gbk",2013,4,3,66596,93,1,"normal","ST",5.67530510609761,0.801800123435128,566
"47","gbk",2014,4,3,66596,93,1,"normal","ST",4.64120036656902,0.856011177641557,566
"48","gbk",2015,4,3,66596,93,1,"normal","ST",4.75457024502207,0.931187129132043,566
"49","gbk",2016,4,3,66596,94,1,"normal","ST",5.42706102978221,0.734194350648691,566
"50","gbk",2017,4,3,66596,93,1,"normal","ST",5.29540956569672,0.853166002590618,566
"110","gome",1968,4,3,66596,94,1,"normal","ST",3.07540030001294,0.48211400285192,463
"210","gome",1969,4,3,66596,93,1,"normal","ST",3.69342246247754,0.823248510631993,463
"310","gome",1970,4,3,66596,93,1,"normal","ST",3.41638014793344,0.447739657576795,463
"410","gome",1971,4,3,66596,93,1,"normal","ST",2.73724811222943,0.430227467002619,463
"51","gome",1972,4,3,66596,94,1,"normal","ST",3.5232588226271,0.556633892313044,463
"61","gome",1973,4,3,66596,93,1,"normal","ST",2.93385302566888,0.53343156826681,463
"71","gome",1974,4,3,66596,93,1,"normal","ST",3.65124184657249,0.648306550235496,463
"81","gome",1975,4,3,66596,93,1,"normal","ST",2.38138772402221,0.501937573873401,463
"91","gome",1976,4,3,66596,94,1,"normal","ST",4.71700403894362,0.516127734405526,463
"101","gome",1977,4,3,66596,93,1,"normal","ST",3.45038191809233,0.70921503914619,463
"111","gome",1978,4,3,66596,93,1,"normal","ST",2.07650892917261,0.671519345218362,463
"121","gome",1979,4,3,66596,93,1,"normal","ST",2.90383840335416,0.51496106246494,463
"131","gome",1980,4,3,66596,94,1,"normal","ST",3.16479807223468,0.654764252975648,463
"141","gome",1981,4,3,66596,93,1,"normal","ST",3.29032159697324,0.44617491724957,463
"151","gome",1982,4,3,66596,93,1,"normal","ST",2.82573304897492,0.539226922443056,463
"161","gome",1983,4,3,66596,93,1,"normal","ST",3.54205331913299,0.5182949532201,463
"171","gome",1984,4,3,66596,94,1,"normal","ST",3.02850125167336,0.664363581529263,463
"181","gome",1985,4,3,66596,93,1,"normal","ST",3.96027554446965,0.624692202777258,463
"191","gome",1986,4,3,66596,93,1,"normal","ST",4.80944650496628,0.72530239682053,463
"201","gome",1987,4,3,66596,93,1,"normal","ST",2.45172938337961,0.566936811719161,463
"211","gome",1988,4,3,66596,94,1,"normal","ST",3.44946982802876,0.41019904483907,463
"221","gome",1989,4,3,66596,93,1,"normal","ST",3.92954135087208,0.578462322749879,463
"231","gome",1990,4,3,66596,93,1,"normal","ST",4.41985468935722,0.5915569665869,463
"241","gome",1991,4,3,66596,93,1,"normal","ST",4.2489544176601,0.579504219895918,463
"251","gome",1992,4,3,66596,94,1,"normal","ST",2.68996978076805,0.360330620277006,463
"261","gome",1993,4,3,66596,93,1,"normal","ST",2.44439143215326,0.802834801744643,463
"271","gome",1994,4,3,66596,93,1,"normal","ST",3.52274437077955,0.729637420264673,463
"281","gome",1995,4,3,66596,93,1,"normal","ST",3.71271659565289,0.477093996088769,463
"291","gome",1996,4,3,66596,94,1,"normal","ST",2.86366132975308,0.491262693333634,463
"301","gome",1997,4,3,66596,93,1,"normal","ST",3.66114078793554,0.60894927046215,463
"311","gome",1998,4,3,66596,93,1,"normal","ST",3.99510462979697,0.455704906178572,463
"321","gome",1999,4,3,66596,93,1,"normal","ST",4.15621291396793,0.441718668674877,463
"331","gome",2000,4,3,66596,94,1,"normal","ST",4.19853624159067,0.527307331781597,463
"341","gome",2001,4,3,66596,93,1,"normal","ST",3.24494015234257,0.579885274862812,463
"351","gome",2002,4,3,66596,93,1,"normal","ST",4.63675904013851,0.53951200619344,463
"361","gome",2003,4,3,66596,93,1,"normal","ST",2.90725958809704,0.527597880341075,463
"371","gome",2004,4,3,66596,94,1,"normal","ST",2.19177699096008,0.580317241694968,463
"381","gome",2005,4,3,66596,93,1,"normal","ST",3.10208074361214,0.405825679138665,463
"391","gome",2006,4,3,66596,93,1,"normal","ST",4.4707274430868,0.408151214397022,463
"401","gome",2007,4,3,66596,93,1,"normal","ST",3.33773822288453,0.626973638300121,463
"411","gome",2008,4,3,66596,94,1,"normal","ST",4.19312635893956,0.497503105966698,463
"421","gome",2009,4,3,66596,93,1,"normal","ST",3.65718935884538,0.577817851156337,463
"431","gome",2010,4,3,66596,93,1,"normal","ST",4.46968061783362,0.521817737784109,463
"441","gome",2011,4,3,66596,93,1,"normal","ST",4.01442128658312,0.38069330409555,463
"451","gome",2012,4,3,66596,94,1,"normal","ST",5.71811042723364,0.7248573173996,463
"461","gome",2013,4,3,66596,93,1,"normal","ST",4.14670474992951,0.528132154413583,463
"471","gome",2014,4,3,66596,93,1,"normal","ST",4.05230724801887,0.397242224365069,463
"481","gome",2015,4,3,66596,93,1,"normal","ST",3.21234172162432,0.660697680063686,463
"491","gome",2016,4,3,66596,94,1,"normal","ST",4.58903865240227,0.484135395949465,463
"501","gome",2017,4,3,66596,93,1,"normal","ST",3.74499394386303,0.55057426225108,463
"112","gomw",1968,4,3,66596,94,1,"normal","ST",3.29991653398977,0.425103973505096,585
"212","gomw",1969,4,3,66596,93,1,"normal","ST",3.73630334229389,0.639018391647096,585
"312","gomw",1970,4,3,66596,93,1,"normal","ST",3.87424433370632,0.583467018559892,585
"412","gomw",1971,4,3,66596,93,1,"normal","ST",2.87073938434242,0.719243238592424,585
"52","gomw",1972,4,3,66596,94,1,"normal","ST",3.98314077884587,0.570674122918707,585
"62","gomw",1973,4,3,66596,93,1,"normal","ST",3.95381927365756,0.409738019851916,585
"72","gomw",1974,4,3,66596,93,1,"normal","ST",3.23869342883888,1.61936645496526,585
"82","gomw",1975,4,3,66596,93,1,"normal","ST",3.32262242448239,0.504910092423629,585
"92","gomw",1976,4,3,66596,94,1,"normal","ST",4.97185543863005,0.522348453300795,585
"102","gomw",1977,4,3,66596,93,1,"normal","ST",3.57587810473763,0.983446853458697,585
"113","gomw",1978,4,3,66596,93,1,"normal","ST",2.76332463894621,0.533658617127059,585
"122","gomw",1979,4,3,66596,93,1,"normal","ST",3.50462432561131,0.438779554268902,585
"132","gomw",1980,4,3,66596,94,1,"normal","ST",3.77294573058493,0.487671558284376,585
"142","gomw",1981,4,3,66596,93,1,"normal","ST",3.85119452532724,0.538442168939778,585
"152","gomw",1982,4,3,66596,93,1,"normal","ST",3.29477019142401,0.659782464942915,585
"162","gomw",1983,4,3,66596,93,1,"normal","ST",4.14610826078358,0.616859101619782,585
"172","gomw",1984,4,3,66596,94,1,"normal","ST",3.89138343029962,0.699478791678429,585
"182","gomw",1985,4,3,66596,93,1,"normal","ST",4.87242109079287,0.696482611478184,585
"192","gomw",1986,4,3,66596,93,1,"normal","ST",4.6255605026039,0.636073260873284,585
"202","gomw",1987,4,3,66596,93,1,"normal","ST",3.13129117216735,0.602033790183949,585
"213","gomw",1988,4,3,66596,94,1,"normal","ST",3.93872007371534,0.604032057703269,585
"222","gomw",1989,4,3,66596,93,1,"normal","ST",4.26419718564307,0.826489146311877,585
"232","gomw",1990,4,3,66596,93,1,"normal","ST",5.12906617229306,0.645444965277576,585
"242","gomw",1991,4,3,66596,93,1,"normal","ST",5.03487345836241,0.641148590046777,585
"252","gomw",1992,4,3,66596,94,1,"normal","ST",3.53252716620348,0.665506922303482,585
"262","gomw",1993,4,3,66596,93,1,"normal","ST",3.1592255383131,0.738483695757848,585
"272","gomw",1994,4,3,66596,93,1,"normal","ST",4.09649464051589,0.577853120652,585
"282","gomw",1995,4,3,66596,93,1,"normal","ST",4.23321489938366,0.477282211534268,585
