"common_name","sci_name","cc_name","stock_name","species_code","svspp","stock_season","strata"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1030"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1040"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1070"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1080"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1110"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1120"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1140"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1150"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1210"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1220"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1230"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1240"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1250"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1260"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1270"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1280"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1290"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1300"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1310"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1320"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1330"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1340"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1350"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1360"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1370"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1380"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1390"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1400"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1630"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1640"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1670"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1680"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1710"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1720"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1750"
"atlantic hagfish","Myxine glutinosa","atlantic-hagfish","atlantic-hagfish","atlhag",1,"both","1760"
