"","Time","Var","Value"
"1",1998,"Series",0.904501634829268
"2",1999,"Series",1.49100284088996
"3",2000,"Series",1.76224537527128
"4",2002,"Series",1.21306039781034
"5",2003,"Series",2.56261562890341
"6",2004,"Series",1.14230734255302
"7",2005,"Series",1.16330180681987
"8",2006,"Series",1.52061759851319
"9",2007,"Series",1.4776804797714
"10",2008,"Series",1.86856265695808
"11",2009,"Series",1.34585954981394
"12",2011,"Series",1.03490075094859
"13",2012,"Series",1.24920335294559
"14",2014,"Series",1.58529405603986
"15",2015,"Series",0.928881283426075
"16",2016,"Series",1.19757793348453
"17",2018,"Series",0.823051862267621
"18",2019,"Series",0.66823454315515
"19",1998,"Regime mean",1.40297579306115
"20",1999,"Regime mean",1.40297579306115
"21",2000,"Regime mean",1.40297579306115
"22",2002,"Regime mean",1.40297579306115
"23",2003,"Regime mean",1.40297579306115
"24",2004,"Regime mean",1.40297579306115
"25",2005,"Regime mean",1.40297579306115
"26",2006,"Regime mean",1.40297579306115
"27",2007,"Regime mean",1.40297579306115
"28",2008,"Regime mean",1.40297579306115
"29",2009,"Regime mean",1.40297579306115
"30",2011,"Regime mean",1.40297579306115
"31",2012,"Regime mean",1.40297579306115
"32",2014,"Regime mean",1.40297579306115
"33",2015,"Regime mean",1.40297579306115
"34",2016,"Regime mean",1.40297579306115
"35",2018,"Regime mean",0.745643202711386
"36",2019,"Regime mean",0.745643202711386
