"","Time","Acartia spp.","Calanus finmarchicus","Centropages hamatus","Centropages typicus","Metridia lucens","Oithona spp.","Pseudocalanus spp.","Temora longicornis"
"1",1977,0,3.57585559231793,0.59676413696121,0.751671269253413,2.16129130873008,1.34407227011219,3.27228139915642,0.140016966056615
"2",1978,0,3.31301898033874,0.815591114522899,1.19991445013514,1.8893844862455,0.519903862953609,3.20228771468891,0.0312493914739878
"3",1979,0.826805042128181,4.18989317835038,0.853859043032369,2.985162132604,3.24612425956274,2.15387641008002,3.75065836545349,0.537996380750888
"4",1980,0.43772652031923,3.51553441745294,1.07856467047701,2.64544998635332,3.15397371777736,1.55903553637183,3.26942307374899,0.278592625745142
"5",1981,0.723289867986454,3.61749465613514,0.716750405406557,2.47044137066018,2.95293971817489,0.601980303019118,3.41331132436973,0.546820972686408
"6",1982,0.872912521597767,3.55162340157907,0.755297150015804,3.10695304077563,2.96577696511134,1.88844563787895,3.34459191182609,0.403990852334958
"7",1983,0.56728702875932,3.7273873736029,1.16856394663252,1.57876235557831,2.16519663258155,2.12364513117292,3.21406992993693,0.819466498388213
"8",1984,0.377345397643674,3.95011735217093,0.731536977290329,1.04744736935773,1.81562122329605,0.908866352669155,3.13168931758902,0.597521164457804
"9",1985,0.428303973762488,3.69571880484642,0.921630823128489,1.26572954224302,1.66331941741001,1.17223242732878,2.91935276063919,0.223278623523384
"10",1986,0.353130830896197,3.65606472372835,1.00036823975548,1.65417487679847,1.51996713437919,0.898920204170473,2.60568996464097,0
"11",1987,0.614253775315058,4.27421591599995,1.27417706600752,1.2279812101878,2.78218362061637,1.35189343732769,3.2867992680154,1.12252206783386
"12",1988,0.63770648042999,3.58140296967754,0.88773658935366,0.875689740887012,1.54284476249079,1.02054131380779,2.86084720385391,0.58842933985085
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,NA,NA,NA,NA,NA,NA,NA,NA
"16",1992,0.481812140259865,3.45795205560621,0.7856048125661,2.90145885631139,3.3688796222118,3.05296955450876,3.45836893826894,1.20163207642885
"17",1993,0.670451947494171,4.03498542960003,1.19505418831104,2.58374650294992,3.26350998283068,2.92213169077326,3.69145525091578,1.62547973109415
"18",1994,NA,NA,NA,NA,NA,NA,NA,NA
"19",1995,0,4.17984589461434,1.4346625326771,2.97005553981732,3.21064249542178,2.95322428677484,3.72561634756335,1.90147346787847
"20",1996,0,4.45915149248319,1.33916858420454,2.75438053343797,3.34933758324735,2.89504978376457,3.83623404387444,2.05523346729549
"21",1997,0,3.84653264477474,1.06185449465779,2.77539888546459,3.23655467526529,2.84405272610372,3.71271869355053,1.71369682061248
"22",1998,0,4.21088486920893,1.42299321301353,2.9905956866802,3.27334068121515,3.24697872326878,3.73262592421909,2.07600071875405
"23",1999,0,3.82983526517793,1.15592893309421,3.16762727109483,3.80228326948392,3.26802454962847,3.96059162689465,1.76029020251703
"24",2000,0,3.84174311670573,0.912032900242323,3.62768299218123,3.17194399563665,2.97683275436273,3.89943004946178,1.47043755356629
"25",2001,0,4.1134410501615,1.15589370369052,3.49626075244772,3.82246702729124,3.86702687272092,4.20550861064338,2.18995460019037
"26",2002,0,3.71344759276725,1.14187556855397,1.27104204401657,1.80401732853456,2.09934236908607,2.69982406471801,0.929374989397055
"27",2003,0,4.32803930740818,0.790970460702159,0.843139297639781,2.56982222237438,3.16011125825513,3.41534243008339,0.53619143540779
"28",2004,0,4.09984003531942,0.428662715980239,0.955875476293683,1.95221864134994,3.17721932560002,3.45940157464382,1.19790368011532
"29",2005,0,3.88400232365133,1.08645215466273,1.020548988846,2.55417664010314,2.42880635111186,2.92785548741618,0.751989780614112
"30",2006,0.439284259485988,3.80456995973347,0.789068294552127,1.0155032180572,1.90365243661012,2.35558928783631,2.55422656747693,0.66366204721785
"31",2007,0,4.0910453436369,0.943537509553558,1.87025492605188,2.21160721576734,2.18031241829852,2.9787974815143,0.824953228393866
"32",2008,0,3.88405456456457,0.899298823685794,1.07139069640267,1.78915262777324,1.4688151256748,2.6149917418648,0.745072994467191
"33",2009,0,3.77713296361881,0.979369263434308,1.47045288815535,2.00741782235087,1.92131070030785,2.32660613668004,0.518366837126432
"34",2010,0,4.04472144159384,0.725168109257996,1.49109310688384,3.0185374936186,2.7785249055509,3.51959908826632,0.707440115643256
"35",2011,0.273434084273031,3.54842687391214,0.998397449458951,1.90273605425271,2.85017084487065,2.04685760915804,3.23117197411043,0.983996658798571
"36",2012,0,3.71925741491275,1.13009308253648,3.00807695897246,2.22657979983618,2.13282610599491,2.88054191975237,0.788612907137814
"37",2013,0,3.63285694253853,1.0777914326604,3.18759763594877,3.08581018464823,3.03334308263338,3.58065507997,1.9384607605448
"38",2014,0,3.71667158680741,1.18566237103005,2.17939152503678,2.82345963410783,2.69291634731453,3.15767204363174,1.14763859450665
"39",2015,0,4.51174488002344,1.55456055165768,2.10476460844006,2.55013996199054,3.2877515320881,3.90935255575902,3.18661986817318
"40",2016,NA,NA,NA,NA,NA,NA,NA,NA
"41",2017,0,3.86185340289333,1.954601058057,3.15775099955007,2.20188651927115,2.86368098902095,2.87178482479987,2.07043870314327
