"","Time","Var","Value"
"1",1992,"Series",33.5073967797867
"2",1993,"Series",33.5858502745109
"3",1994,"Series",33.8903268705152
"4",1995,"Series",33.6945746095969
"5",1996,"Series",33.3774805584032
"6",1997,"Series",33.5904120566666
"7",1998,"Series",33.2337486595461
"8",1999,"Series",33.9533331681375
"9",2000,"Series",33.7050506783769
"10",2001,"Series",33.5733525226634
"11",2002,"Series",33.8802505103868
"12",2003,"Series",33.6622848380751
"13",2004,"Series",33.3479052016915
"14",2005,"Series",33.509619193027
"15",2006,"Series",33.6406594100744
"16",2007,"Series",33.5862524773534
"17",2008,"Series",33.4226273382862
"18",2009,"Series",33.6310944838052
"19",2010,"Series",33.7844028653826
"20",2011,"Series",33.5740590840072
"21",2012,"Series",34.0279705933005
"22",2013,"Series",33.8292897549753
"23",2014,"Series",33.9567613873299
"24",2015,"Series",33.9262263646444
"25",2016,"Series",33.8729555245852
"26",2017,"Series",33.6860251223064
"27",2018,"Series",33.6547311148051
"28",2019,"Series",33.7621210260049
"29",1992,"Trend",33.5534937539212
"30",1993,"Trend",33.5624062866155
"31",1994,"Trend",33.5713188193098
"32",1995,"Trend",33.5802313520041
"33",1996,"Trend",33.5891438846984
"34",1997,"Trend",33.5980564173928
"35",1998,"Trend",33.6069689500871
"36",1999,"Trend",33.6158814827814
"37",2000,"Trend",33.6247940154757
"38",2001,"Trend",33.63370654817
"39",2002,"Trend",33.6426190808643
"40",2003,"Trend",33.6515316135587
"41",2004,"Trend",33.660444146253
"42",2005,"Trend",33.6693566789473
"43",2006,"Trend",33.6782692116416
"44",2007,"Trend",33.6871817443359
"45",2008,"Trend",33.6960942770303
"46",2009,"Trend",33.7050068097246
"47",2010,"Trend",33.7139193424189
"48",2011,"Trend",33.7228318751132
"49",2012,"Trend",33.7317444078075
"50",2013,"Trend",33.7406569405019
"51",2014,"Trend",33.7495694731962
"52",2015,"Trend",33.7584820058905
"53",2016,"Trend",33.7673945385848
"54",2017,"Trend",33.7763070712791
"55",2018,"Trend",33.7852196039734
"56",2019,"Trend",33.7941321366678
"57",1992,"Regime mean",33.6075340790146
"58",1993,"Regime mean",33.6075340790146
"59",1994,"Regime mean",33.6075340790146
"60",1995,"Regime mean",33.6075340790146
"61",1996,"Regime mean",33.6075340790146
"62",1997,"Regime mean",33.6075340790146
"63",1998,"Regime mean",33.6075340790146
"64",1999,"Regime mean",33.6075340790146
"65",2000,"Regime mean",33.6075340790146
"66",2001,"Regime mean",33.6075340790146
"67",2002,"Regime mean",33.6075340790146
"68",2003,"Regime mean",33.6075340790146
"69",2004,"Regime mean",33.6075340790146
"70",2005,"Regime mean",33.6075340790146
"71",2006,"Regime mean",33.6075340790146
"72",2007,"Regime mean",33.6075340790146
"73",2008,"Regime mean",33.6075340790146
"74",2009,"Regime mean",33.6075340790146
"75",2010,"Regime mean",33.6075340790146
"76",2011,"Regime mean",33.6075340790146
"77",2012,"Regime mean",33.839510110994
"78",2013,"Regime mean",33.839510110994
"79",2014,"Regime mean",33.839510110994
"80",2015,"Regime mean",33.839510110994
"81",2016,"Regime mean",33.839510110994
"82",2017,"Regime mean",33.839510110994
"83",2018,"Regime mean",33.839510110994
"84",2019,"Regime mean",33.839510110994
