"","Time","Var","Value"
"1",1968,"Series",13.7351131402944
"2",1969,"Series",13.469428097686
"3",1970,"Series",13.6743967429971
"4",1971,"Series",14.8603042507009
"5",1972,"Series",13.180781525486
"6",1973,"Series",13.7268994948115
"7",1974,"Series",13.7728133133266
"8",1975,"Series",13.8538996728314
"9",1976,"Series",13.7763946181289
"10",1977,"Series",13.6876251618991
"11",1978,"Series",13.1577230900411
"12",1979,"Series",14.0114223416337
"13",1980,"Series",13.5082975706524
"14",1981,"Series",13.285050799466
"15",1982,"Series",13.6793066006796
"16",1983,"Series",14.0001414239214
"17",1984,"Series",14.0246211757986
"18",1985,"Series",14.950194300187
"19",1986,"Series",13.6381606406427
"20",1987,"Series",14.0417652632734
"21",1988,"Series",12.7654387935199
"22",1989,"Series",13.5762108193624
"23",1990,"Series",13.5783947894494
"24",1991,"Series",13.7141421145713
"25",1992,"Series",13.2539474916936
"26",1993,"Series",13.2164265486942
"27",1994,"Series",13.3782483250533
"28",1995,"Series",14.5061180844888
"29",1996,"Series",12.5131632815155
"30",1997,"Series",13.6680148185137
"31",1998,"Series",13.3269759354447
"32",1999,"Series",14.6569478669343
"33",2000,"Series",13.8662768144489
"34",2001,"Series",14.1910634126626
"35",2002,"Series",14.9424005511764
"36",2003,"Series",14.2118059454501
"37",2004,"Series",13.5063597424177
"38",2005,"Series",14.6888582910427
"39",2006,"Series",14.1807152410494
"40",2007,"Series",14.1807190926387
"41",2008,"Series",13.7938103971774
"42",2009,"Series",13.8692206790007
"43",2010,"Series",14.1671640004025
"44",2011,"Series",14.7245308150476
"45",2012,"Series",15.9399187806974
"46",2013,"Series",14.5265529626303
"47",2014,"Series",15.3708546728915
"48",2015,"Series",15.2528276279249
"49",2016,"Series",15.590203949966
"50",2017,"Series",15.7351524854533
"51",2018,"Series",15.3520944679935
"52",2019,"Series",15.1322211668848
"53",1968,"Trend",13.3161311798444
"54",1969,"Trend",13.3463109384203
"55",1970,"Trend",13.3764906969961
"56",1971,"Trend",13.4066704555719
"57",1972,"Trend",13.4368502141478
"58",1973,"Trend",13.4670299727236
"59",1974,"Trend",13.4972097312994
"60",1975,"Trend",13.5273894898753
"61",1976,"Trend",13.5575692484511
"62",1977,"Trend",13.587749007027
"63",1978,"Trend",13.6179287656028
"64",1979,"Trend",13.6481085241786
"65",1980,"Trend",13.6782882827545
"66",1981,"Trend",13.7084680413303
"67",1982,"Trend",13.7386477999061
"68",1983,"Trend",13.768827558482
"69",1984,"Trend",13.7990073170578
"70",1985,"Trend",13.8291870756336
"71",1986,"Trend",13.8593668342095
"72",1987,"Trend",13.8895465927853
"73",1988,"Trend",13.9197263513611
"74",1989,"Trend",13.949906109937
"75",1990,"Trend",13.9800858685128
"76",1991,"Trend",14.0102656270886
"77",1992,"Trend",14.0404453856645
"78",1993,"Trend",14.0706251442403
"79",1994,"Trend",14.1008049028162
"80",1995,"Trend",14.130984661392
"81",1996,"Trend",14.1611644199678
"82",1997,"Trend",14.1913441785437
"83",1998,"Trend",14.2215239371195
"84",1999,"Trend",14.2517036956953
"85",2000,"Trend",14.2818834542712
"86",2001,"Trend",14.312063212847
"87",2002,"Trend",14.3422429714228
"88",2003,"Trend",14.3724227299987
"89",2004,"Trend",14.4026024885745
"90",2005,"Trend",14.4327822471503
"91",2006,"Trend",14.4629620057262
"92",2007,"Trend",14.493141764302
"93",2008,"Trend",14.5233215228779
"94",2009,"Trend",14.5535012814537
"95",2010,"Trend",14.5836810400295
"96",2011,"Trend",14.6138607986054
"97",2012,"Trend",14.6440405571812
"98",2013,"Trend",14.674220315757
"99",2014,"Trend",14.7044000743329
"100",2015,"Trend",14.7345798329087
"101",2016,"Trend",14.7647595914845
"102",2017,"Trend",14.7949393500604
"103",2018,"Trend",14.8251191086362
"104",2019,"Trend",14.855298867212
"105",1968,"Regime mean",13.8089944711899
"106",1969,"Regime mean",13.8089944711899
"107",1970,"Regime mean",13.8089944711899
"108",1971,"Regime mean",13.8089944711899
"109",1972,"Regime mean",13.8089944711899
"110",1973,"Regime mean",13.8089944711899
"111",1974,"Regime mean",13.8089944711899
"112",1975,"Regime mean",13.8089944711899
"113",1976,"Regime mean",13.8089944711899
"114",1977,"Regime mean",13.8089944711899
"115",1978,"Regime mean",13.8089944711899
"116",1979,"Regime mean",13.8089944711899
"117",1980,"Regime mean",13.8089944711899
"118",1981,"Regime mean",13.8089944711899
"119",1982,"Regime mean",13.8089944711899
"120",1983,"Regime mean",13.8089944711899
"121",1984,"Regime mean",13.8089944711899
"122",1985,"Regime mean",13.8089944711899
"123",1986,"Regime mean",13.8089944711899
"124",1987,"Regime mean",13.8089944711899
"125",1988,"Regime mean",13.8089944711899
"126",1989,"Regime mean",13.8089944711899
"127",1990,"Regime mean",13.8089944711899
"128",1991,"Regime mean",13.8089944711899
"129",1992,"Regime mean",13.8089944711899
"130",1993,"Regime mean",13.8089944711899
"131",1994,"Regime mean",13.8089944711899
"132",1995,"Regime mean",13.8089944711899
"133",1996,"Regime mean",13.8089944711899
"134",1997,"Regime mean",13.8089944711899
"135",1998,"Regime mean",13.8089944711899
"136",1999,"Regime mean",13.8089944711899
"137",2000,"Regime mean",13.8089944711899
"138",2001,"Regime mean",13.8089944711899
"139",2002,"Regime mean",13.8089944711899
"140",2003,"Regime mean",13.8089944711899
"141",2004,"Regime mean",13.8089944711899
"142",2005,"Regime mean",13.8089944711899
"143",2006,"Regime mean",13.8089944711899
"144",2007,"Regime mean",13.8089944711899
"145",2008,"Regime mean",13.8089944711899
"146",2009,"Regime mean",13.8089944711899
"147",2010,"Regime mean",13.8089944711899
"148",2011,"Regime mean",15.2915952143877
"149",2012,"Regime mean",15.2915952143877
