"","Time","Var","Value"
"1",1968,"Series",5.04803504438753
"2",1969,"Series",5.74369615164702
"3",1970,"Series",6.37414024164022
"4",1971,"Series",5.89568972519225
"5",1972,"Series",6.19211608183628
"6",1973,"Series",6.37324456562108
"7",1974,"Series",6.71183991855662
"8",1975,"Series",6.22479394747189
"9",1976,"Series",6.74242424731736
"10",1977,"Series",5.52927069024698
"11",1978,"Series",4.95310335543444
"12",1979,"Series",5.39542430524985
"13",1980,"Series",5.54413351791032
"14",1981,"Series",5.29701329100669
"15",1982,"Series",5.36352541942055
"16",1983,"Series",6.00842233244167
"17",1984,"Series",6.16726146004596
"18",1985,"Series",6.29531727820269
"19",1986,"Series",6.98204947581183
"20",1987,"Series",5.61131581592631
"21",1988,"Series",6.14966254671782
"22",1989,"Series",5.79034980000173
"23",1990,"Series",5.97337529257148
"24",1991,"Series",6.36488118615844
"25",1992,"Series",6.0993319622972
"26",1993,"Series",5.25556806085009
"27",1994,"Series",6.35268783718451
"28",1995,"Series",6.50063778030128
"29",1996,"Series",5.80606874390237
"30",1997,"Series",6.34219297454084
"31",1998,"Series",5.9979096533806
"32",1999,"Series",6.31264295934116
"33",2000,"Series",6.82917961956755
"34",2001,"Series",6.25353274249773
"35",2002,"Series",7.04611286537146
"36",2003,"Series",5.37095704952814
"37",2004,"Series",4.83511545650392
"38",2005,"Series",5.38074712139179
"39",2006,"Series",6.67201523478886
"40",2007,"Series",5.63177427545804
"41",2008,"Series",6.28969844338305
"42",2009,"Series",5.80702413626206
"43",2010,"Series",6.63599642274368
"44",2011,"Series",6.79633459577337
"45",2012,"Series",7.72360015861633
"46",2013,"Series",6.79214375543912
"47",2014,"Series",5.97995592132868
"48",2015,"Series",5.76212505194231
"49",2016,"Series",7.12993664351954
"50",2017,"Series",6.62912810165843
"51",2018,"Series",6.84516143623378
"52",2019,"Series",6.86198571737712
"53",1968,"Trend",5.72142317230233
"54",1969,"Trend",5.73727489451078
"55",1970,"Trend",5.75312661671922
"56",1971,"Trend",5.76897833892766
"57",1972,"Trend",5.78483006113611
"58",1973,"Trend",5.80068178334455
"59",1974,"Trend",5.81653350555299
"60",1975,"Trend",5.83238522776143
"61",1976,"Trend",5.84823694996987
"62",1977,"Trend",5.86408867217832
"63",1978,"Trend",5.87994039438676
"64",1979,"Trend",5.8957921165952
"65",1980,"Trend",5.91164383880364
"66",1981,"Trend",5.92749556101209
"67",1982,"Trend",5.94334728322053
"68",1983,"Trend",5.95919900542897
"69",1984,"Trend",5.97505072763741
"70",1985,"Trend",5.99090244984585
"71",1986,"Trend",6.0067541720543
"72",1987,"Trend",6.02260589426274
"73",1988,"Trend",6.03845761647118
"74",1989,"Trend",6.05430933867963
"75",1990,"Trend",6.07016106088807
"76",1991,"Trend",6.08601278309651
"77",1992,"Trend",6.10186450530495
"78",1993,"Trend",6.11771622751339
"79",1994,"Trend",6.13356794972184
"80",1995,"Trend",6.14941967193028
"81",1996,"Trend",6.16527139413872
"82",1997,"Trend",6.18112311634717
"83",1998,"Trend",6.19697483855561
"84",1999,"Trend",6.21282656076405
"85",2000,"Trend",6.22867828297249
"86",2001,"Trend",6.24453000518094
"87",2002,"Trend",6.26038172738938
"88",2003,"Trend",6.27623344959782
"89",2004,"Trend",6.29208517180626
"90",2005,"Trend",6.30793689401471
"91",2006,"Trend",6.32378861622315
"92",2007,"Trend",6.33964033843159
"93",2008,"Trend",6.35549206064004
"94",2009,"Trend",6.37134378284848
"95",2010,"Trend",6.38719550505692
