Time,spring_north_log10_num,spring_south_log10_num,spring_unit_log10_num,spring_north_ma_log10_num,spring_south_ma_log10_num,spring_unit_ma_log10_num,fall_north_log10_num,fall_south_log10_num,fall_unit_log10_num,fall_north_ma_log10_num,fall_south_ma_log10_num,fall_unit_ma_log10_num,spring_north_log10_bio,spring_south_log10_bio,spring_unit_log10_bio,spring_north_ma_log10_bio,spring_south_ma_log10_bio,spring_unit_ma_log10_bio,fall_north_log10_bio,fall_south_log10_bio,fall_unit_log10_bio,fall_north_ma_log10_bio,fall_south_ma_log10_bio,fall_unit_ma_log10_bio
1976,4.632137468,4.282036637,4.894964768,4.572856072,4.868423306,5.100920434,6.143439814,5.161589693,6.138083932,5.881601016,5.091594884,5.943631205,3.667896472,3.367186101,3.891051642,3.567363871,3.735460948,3.964251333,5.242315734,4.358207043,5.259437283,5.058960403,4.275070241,5.123739553
1977,,,,4.624902571,4.795952689,5.05032129,5.705935676,5.050076411,5.807177156,5.820374077,5.194265034,5.964261623,,,,3.806898355,3.711115846,4.086071311,4.842147987,4.20367496,4.950020873,4.935843623,4.26316895,5.051557428
1978,4.513574675,5.454809976,5.3068761,4.569075985,4.854852072,5.042649187,5.795427559,5.063118547,5.885632527,5.730175521,5.121051855,5.879360664,3.466831271,4.103735795,4.037451025,3.752307039,3.888995228,4.161455899,5.09241749,4.263328722,5.161760503,4.861078721,4.187773377,4.979450843
1979,4.72899557,4.651011454,4.949123003,4.657053472,5.330167576,5.30963617,5.636693258,5.502275484,6.026152875,5.672923727,4.95775185,5.844363839,4.285967323,3.662425641,4.329711266,3.736291964,4.268868569,4.367068856,4.566493282,4.227465074,4.835011053,4.797731353,4.100903516,4.932496233
1980,4.401596227,5.031550221,5.019632876,4.639460448,5.409929599,5.395996146,5.3693813,4.82819914,5.539756829,5.691567687,4.925779697,5.859781789,3.588533088,4.422633377,4.387609662,3.607426991,4.259203871,4.346518043,4.562019112,3.886191087,4.691024505,4.845703603,4.074298696,4.97540033
1981,4.984047417,6.183298652,5.962912702,4.451829656,5.225383322,5.242279688,5.857180841,4.345089666,5.963099809,5.614243328,4.952377866,5.816058474,3.603836175,4.886679464,4.713503471,3.42914488,4.144872431,4.246686601,4.925578892,3.923857736,5.024664232,4.749686733,4.010211984,4.891298938
1982,4.569088352,5.72897769,5.741436048,4.501772692,5.492230449,5.441268405,5.799155477,4.890215649,5.884266904,5.557851415,4.888472804,5.741356199,3.091967097,4.22054508,4.264314793,3.326268466,4.366915102,4.327036047,5.082009236,4.070650858,5.164541359,4.740231062,3.918274335,4.854825028
1983,3.575420715,4.532078594,4.53829381,4.377518941,5.382183039,5.374130295,5.408805766,5.196109388,5.667015954,5.484747686,4.816840148,5.674770507,2.575420715,3.532078594,3.53829381,3.164627343,4.178651061,4.186302579,4.612333143,3.942895165,4.741253544,4.727640362,3.920757165,4.849645264
1984,4.978710749,5.985247086,5.944066589,4.735370061,5.753635966,5.771380717,5.35473369,5.182750176,5.6526415,5.414511581,4.982929051,5.619733066,3.771585256,4.772638994,4.731458497,3.502438742,4.520167335,4.54385847,4.519214928,3.767776828,4.6526415,4.711910185,3.935014206,4.81751319
1985,3.780327471,4.481313173,4.683942324,5.08489407,5.887167001,5.937181708,5.003862656,4.470035861,5.206828371,5.318350607,5.006107402,5.553599607,2.780327471,3.481313173,3.683942324,3.7810369,4.686821933,4.717561169,4.499065611,3.898605236,4.665125686,4.619385422,3.901105043,4.730756148
1986,6.773303017,8.040563289,7.949164814,5.580736454,6.302577707,6.359478085,5.506000318,5.175534182,5.687912603,5.119167221,4.772050697,5.290757738,5.29289317,6.594260832,6.501282923,4.3688283,5.194191636,5.231830592,4.846928008,3.995142943,4.864003862,4.369320191,3.730351894,4.449354881
1987,6.316708397,6.396632864,6.570441004,5.682600902,6.345160698,6.480991944,,,,5.303368423,4.890502282,5.442357929,4.484957888,5.053818073,5.132828291,4.46217696,5.181465646,5.291255204,,,,4.526963777,3.950980741,4.61227762
