"","Time","Var","Value"
"1",1968,"Series",9.68225769632699
"2",1969,"Series",10.2729207213004
"3",1970,"Series",9.66610567185451
"4",1971,"Series",10.3543226829207
"5",1972,"Series",10.3143622320404
"6",1973,"Series",10.6990831623915
"7",1974,"Series",10.8626561157062
"8",1975,"Series",9.96751921399029
"9",1976,"Series",10.8785607327792
"10",1977,"Series",10.6525385369692
"11",1978,"Series",9.49301225497994
"12",1979,"Series",10.2044899644135
"13",1980,"Series",10.4358096069791
"14",1981,"Series",9.74126085693165
"15",1982,"Series",10.2579318851799
"16",1983,"Series",10.0770064501079
"17",1984,"Series",10.8074852415986
"18",1985,"Series",11.4301503759078
"19",1986,"Series",10.8918866382579
"20",1987,"Series",9.11243743798875
"21",1988,"Series",9.8041365355815
"22",1989,"Series",9.80407432207913
"23",1990,"Series",10.7606247263875
"24",1991,"Series",10.2423920796284
"25",1992,"Series",9.99100069256981
"26",1993,"Series",9.85138486161551
"27",1994,"Series",10.9717873714574
"28",1995,"Series",11.5056740938268
"29",1996,"Series",9.69418099221287
"30",1997,"Series",10.6992831164856
"31",1998,"Series",9.59503386008735
"32",1999,"Series",11.4760466967074
"33",2000,"Series",10.4861858276754
"34",2001,"Series",10.3230398792175
"35",2002,"Series",11.2781670870937
"36",2003,"Series",9.83363945444503
"37",2004,"Series",9.59252771212554
"38",2005,"Series",10.4921058514844
"39",2006,"Series",10.9062376089575
"40",2007,"Series",9.59702131790791
"41",2008,"Series",10.9578139728442
"42",2009,"Series",10.9507943932445
"43",2010,"Series",11.3061612354615
"44",2011,"Series",11.5277636436277
"45",2012,"Series",11.8498150845462
"46",2013,"Series",11.0777261549783
"47",2014,"Series",11.9507559594402
"48",2015,"Series",11.2057294205276
"49",2016,"Series",12.5749164368382
"50",2017,"Series",11.2903310878696
"51",2018,"Series",11.3060756352928
"52",2019,"Series",11.8689686207473
"53",1968,"Trend",9.90613892363777
"54",1969,"Trend",9.93287645695785
"55",1970,"Trend",9.95961399027792
"56",1971,"Trend",9.986351523598
"57",1972,"Trend",10.0130890569181
"58",1973,"Trend",10.0398265902382
"59",1974,"Trend",10.0665641235582
"60",1975,"Trend",10.0933016568783
"61",1976,"Trend",10.1200391901984
"62",1977,"Trend",10.1467767235185
"63",1978,"Trend",10.1735142568386
"64",1979,"Trend",10.2002517901586
"65",1980,"Trend",10.2269893234787
"66",1981,"Trend",10.2537268567988
"67",1982,"Trend",10.2804643901189
"68",1983,"Trend",10.3072019234389
"69",1984,"Trend",10.333939456759
"70",1985,"Trend",10.3606769900791
"71",1986,"Trend",10.3874145233992
"72",1987,"Trend",10.4141520567193
"73",1988,"Trend",10.4408895900393
"74",1989,"Trend",10.4676271233594
"75",1990,"Trend",10.4943646566795
"76",1991,"Trend",10.5211021899996
"77",1992,"Trend",10.5478397233196
"78",1993,"Trend",10.5745772566397
"79",1994,"Trend",10.6013147899598
"80",1995,"Trend",10.6280523232799
"81",1996,"Trend",10.6547898566
"82",1997,"Trend",10.68152738992
"83",1998,"Trend",10.7082649232401
"84",1999,"Trend",10.7350024565602
"85",2000,"Trend",10.7617399898803
"86",2001,"Trend",10.7884775232003
"87",2002,"Trend",10.8152150565204
"88",2003,"Trend",10.8419525898405
"89",2004,"Trend",10.8686901231606
"90",2005,"Trend",10.8954276564807
"91",2006,"Trend",10.9221651898007
"92",2007,"Trend",10.9489027231208
"93",2008,"Trend",10.9756402564409
"94",2009,"Trend",11.002377789761
"95",2010,"Trend",11.0291153230811
"96",2011,"Trend",11.0558528564011
"97",2012,"Trend",11.0825903897212
"98",2013,"Trend",11.1093279230413
"99",2014,"Trend",11.1360654563614
"100",2015,"Trend",11.1628029896814
"101",2016,"Trend",11.1895405230015
"102",2017,"Trend",11.2162780563216
"103",2018,"Trend",11.2430155896417
"104",2019,"Trend",11.2697531229618
"105",1968,"Regime mean",10.3479749983871
"106",1969,"Regime mean",10.3479749983871
"107",1970,"Regime mean",10.3479749983871
"108",1971,"Regime mean",10.3479749983871
"109",1972,"Regime mean",10.3479749983871
"110",1973,"Regime mean",10.3479749983871
"111",1974,"Regime mean",10.3479749983871
"112",1975,"Regime mean",10.3479749983871
"113",1976,"Regime mean",10.3479749983871
"114",1977,"Regime mean",10.3479749983871
"115",1978,"Regime mean",10.3479749983871
"116",1979,"Regime mean",10.3479749983871
"117",1980,"Regime mean",10.3479749983871
"118",1981,"Regime mean",10.3479749983871
"119",1982,"Regime mean",10.3479749983871
"120",1983,"Regime mean",10.3479749983871
"121",1984,"Regime mean",10.3479749983871
"122",1985,"Regime mean",10.3479749983871
"123",1986,"Regime mean",10.3479749983871
"124",1987,"Regime mean",10.3479749983871
"125",1988,"Regime mean",10.3479749983871
"126",1989,"Regime mean",10.3479749983871
"127",1990,"Regime mean",10.3479749983871
"128",1991,"Regime mean",10.3479749983871
"129",1992,"Regime mean",10.3479749983871
"130",1993,"Regime mean",10.3479749983871
"131",1994,"Regime mean",10.3479749983871
"132",1995,"Regime mean",10.3479749983871
"133",1996,"Regime mean",10.3479749983871
"134",1997,"Regime mean",10.3479749983871
"135",1998,"Regime mean",10.3479749983871
"136",1999,"Regime mean",10.3479749983871
"137",2000,"Regime mean",10.3479749983871
"138",2001,"Regime mean",10.3479749983871
"139",2002,"Regime mean",10.3479749983871
"140",2003,"Regime mean",10.3479749983871
"141",2004,"Regime mean",10.3479749983871
"142",2005,"Regime mean",10.3479749983871
"143",2006,"Regime mean",10.3479749983871
"144",2007,"Regime mean",10.3479749983871
"145",2008,"Regime mean",10.3479749983871
"146",2009,"Regime mean",10.3479749983871
"147",2010,"Regime mean",11.5958243279329
"148",2011,"Regime mean",11.5958243279329
"149",2012,"Regime mean",11.5958243279329
"150",2013,"Regime mean",11.5958243279329
"151",2014,"Regime mean",11.5958243279329
"152",2015,"Regime mean",11.5958243279329
"153",2016,"Regime mean",11.5958243279329
"154",2017,"Regime mean",11.5958243279329
"155",2018,"Regime mean",11.5958243279329
"156",2019,"Regime mean",11.5958243279329
