"","Time","Var","Value"
"1",1998,"Series",0.98576487541755
"2",1999,"Series",1.64117357153565
"3",2000,"Series",2.08759149534865
"4",2002,"Series",1.36242072365777
"5",2003,"Series",2.05413524821087
"6",2004,"Series",1.28163752498688
"7",2005,"Series",1.25335439370437
"8",2006,"Series",1.5226465005913
"9",2007,"Series",1.59585556826585
"10",2008,"Series",2.23049203655818
"11",2009,"Series",1.4751487897657
"12",2011,"Series",1.12222039208745
"13",2012,"Series",1.3002767428338
"14",2014,"Series",1.85636674683101
"15",2015,"Series",1.04952682065938
"16",2016,"Series",1.23743340807108
"17",2018,"Series",0.937997031265412
"18",2019,"Series",0.726944888745145
"19",1998,"Regime mean",1.50350280240784
"20",1999,"Regime mean",1.50350280240784
"21",2000,"Regime mean",1.50350280240784
"22",2002,"Regime mean",1.50350280240784
"23",2003,"Regime mean",1.50350280240784
"24",2004,"Regime mean",1.50350280240784
"25",2005,"Regime mean",1.50350280240784
"26",2006,"Regime mean",1.50350280240784
"27",2007,"Regime mean",1.50350280240784
"28",2008,"Regime mean",1.50350280240784
"29",2009,"Regime mean",1.50350280240784
"30",2011,"Regime mean",1.50350280240784
"31",2012,"Regime mean",1.50350280240784
"32",2014,"Regime mean",1.50350280240784
"33",2015,"Regime mean",1.50350280240784
"34",2016,"Regime mean",1.50350280240784
"35",2018,"Regime mean",0.832470960005278
"36",2019,"Regime mean",0.832470960005278
