"","Time","Var","Value"
"1",1992,"Series",32.4486237653967
"2",1994,"Series",32.4694696379478
"3",1995,"Series",32.6367595139572
"4",1998,"Series",31.7167178829965
"5",2000,"Series",32.8145542017472
"6",2002,"Series",32.747578782813
"7",2004,"Series",32.754627863553
"8",2006,"Series",32.5311571666779
"9",2010,"Series",32.2064574698716
"10",2011,"Series",32.0160528220752
"11",2014,"Series",32.7449408501948
"12",2016,"Series",32.5762654476429
"13",2018,"Series",32.5983435591947
"14",2019,"Series",32.11272234431
