"","Time","Var","Value"
"1",1968,"Series",4.66695491292406
"2",1969,"Series",5.43741595398843
"3",1970,"Series",6.60828637062065
"4",1971,"Series",5.98811910250164
"5",1972,"Series",6.22213230383094
"6",1973,"Series",6.15355041264355
"7",1974,"Series",6.63542330738309
"8",1975,"Series",6.28926061497664
"9",1976,"Series",6.74183834766588
"10",1977,"Series",5.19084879096163
"11",1978,"Series",5.06495387358467
"12",1979,"Series",5.15116827587842
"13",1980,"Series",5.24281844230343
"14",1981,"Series",5.12296275546499
"15",1982,"Series",5.46271934741939
"16",1983,"Series",5.61924241266535
"17",1984,"Series",5.83435745147632
"18",1985,"Series",5.9044939150364
"19",1986,"Series",6.84943119464861
"20",1987,"Series",5.36738406230408
"21",1988,"Series",6.0837732039776
"22",1989,"Series",5.49243325923522
"23",1990,"Series",5.6385692642145
"24",1991,"Series",6.18924718132471
"25",1992,"Series",5.99916622802998
"26",1993,"Series",4.97549053172919
"27",1994,"Series",6.08368719840383
"28",1995,"Series",6.27626004214566
"29",1996,"Series",5.94502900527984
"30",1997,"Series",6.409074318154
"31",1998,"Series",6.10054046318772
"32",1999,"Series",5.90481426122341
"33",2000,"Series",6.40525517466856
"34",2001,"Series",6.1521363670723
"35",2002,"Series",6.75984819784733
"36",2003,"Series",5.23565094186517
"37",2004,"Series",4.78485171970791
"38",2005,"Series",5.26580846425929
"39",2006,"Series",6.74429645298966
"40",2007,"Series",5.49915266333502
"41",2008,"Series",6.1961152474641
"42",2009,"Series",5.62789671945914
"43",2010,"Series",6.23146533488585
"44",2011,"Series",6.84573562319306
"45",2012,"Series",7.43457204735244
"46",2013,"Series",6.50560226734207
"47",2014,"Series",5.66480369429294
"48",2015,"Series",5.46924588717628
"49",2016,"Series",6.81872206118773
"50",2017,"Series",6.397172067702
"51",2018,"Series",6.46289194948857
"52",2019,"Series",6.82177381256619
"53",1968,"Regime mean",6.0825534807261
"54",1969,"Regime mean",6.0825534807261
"55",1970,"Regime mean",6.0825534807261
"56",1971,"Regime mean",6.0825534807261
"57",1972,"Regime mean",6.0825534807261
"58",1973,"Regime mean",6.0825534807261
"59",1974,"Regime mean",6.0825534807261
"60",1975,"Regime mean",6.0825534807261
"61",1976,"Regime mean",6.0825534807261
"62",1977,"Regime mean",5.86489493029641
"63",1978,"Regime mean",5.86489493029641
"64",1979,"Regime mean",5.86489493029641
"65",1980,"Regime mean",5.86489493029641
"66",1981,"Regime mean",5.86489493029641
"67",1982,"Regime mean",5.86489493029641
"68",1983,"Regime mean",5.86489493029641
"69",1984,"Regime mean",5.86489493029641
"70",1985,"Regime mean",5.86489493029641
"71",1986,"Regime mean",5.86489493029641
"72",1987,"Regime mean",5.86489493029641
"73",1988,"Regime mean",5.86489493029641
"74",1989,"Regime mean",5.86489493029641
"75",1990,"Regime mean",5.86489493029641
"76",1991,"Regime mean",5.86489493029641
"77",1992,"Regime mean",5.86489493029641
"78",1993,"Regime mean",5.86489493029641
"79",1994,"Regime mean",5.86489493029641
"80",1995,"Regime mean",5.86489493029641
"81",1996,"Regime mean",5.86489493029641
"82",1997,"Regime mean",5.86489493029641
"83",1998,"Regime mean",5.86489493029641
"84",1999,"Regime mean",5.86489493029641
"85",2000,"Regime mean",5.86489493029641
"86",2001,"Regime mean",5.86489493029641
"87",2002,"Regime mean",5.86489493029641
"88",2003,"Regime mean",5.86489493029641
"89",2004,"Regime mean",5.86489493029641
"90",2005,"Regime mean",5.86489493029641
"91",2006,"Regime mean",5.86489493029641
"92",2007,"Regime mean",5.86489493029641
"93",2008,"Regime mean",5.86489493029641
"94",2009,"Regime mean",5.86489493029641
"95",2010,"Regime mean",5.86489493029641
"96",2011,"Regime mean",5.86489493029641
"97",2012,"Regime mean",5.86489493029641
"98",2013,"Regime mean",5.86489493029641
"99",2014,"Regime mean",5.86489493029641
"100",2015,"Regime mean",5.86489493029641
"101",2016,"Regime mean",6.62513997273612
"102",2017,"Regime mean",6.62513997273612
"103",2018,"Regime mean",6.62513997273612
"104",2019,"Regime mean",6.62513997273612
