"","Time","Var","Value"
"1",1998,"Series",0.801093197021949
"2",1999,"Series",1.38448609946475
"3",2000,"Series",1.72139117900033
"4",2002,"Series",1.03568402127071
"5",2003,"Series",2.5859253609069
"6",2004,"Series",0.978312756818098
"7",2005,"Series",1.10525966964138
"8",2006,"Series",1.4015626954057
"9",2007,"Series",1.4073701953249
"10",2008,"Series",1.9302989758556
"11",2009,"Series",1.44990353531736
"12",2011,"Series",0.896186291772879
"13",2012,"Series",1.21710638772799
"14",2014,"Series",1.3659609103295
"15",2015,"Series",0.833106053244284
"16",2016,"Series",1.34984673476307
"17",2018,"Series",0.647589011525012
"18",2019,"Series",0.50979060393609
"19",1998,"Regime mean",1.34146837899159
"20",1999,"Regime mean",1.34146837899159
"21",2000,"Regime mean",1.34146837899159
"22",2002,"Regime mean",1.34146837899159
"23",2003,"Regime mean",1.34146837899159
"24",2004,"Regime mean",1.34146837899159
"25",2005,"Regime mean",1.34146837899159
"26",2006,"Regime mean",1.34146837899159
"27",2007,"Regime mean",1.34146837899159
"28",2008,"Regime mean",1.34146837899159
"29",2009,"Regime mean",1.34146837899159
"30",2011,"Regime mean",1.34146837899159
"31",2012,"Regime mean",1.34146837899159
"32",2014,"Regime mean",1.34146837899159
"33",2015,"Regime mean",1.34146837899159
"34",2016,"Regime mean",1.34146837899159
"35",2018,"Regime mean",0.578689807730551
"36",2019,"Regime mean",0.578689807730551
