"","Time","Var","Value"
"1",1992,"Series",32.1353629415766
"2",1994,"Series",32.2050922195549
"3",1995,"Series",32.1908328338207
"4",1998,"Series",31.4284957926686
"5",2000,"Series",32.3694979500641
"6",2002,"Series",32.4587762464259
"7",2004,"Series",32.2453156850246
"8",2006,"Series",32.3012253764552
"9",2010,"Series",31.5776764428579
"10",2011,"Series",31.5200915897359
"11",2014,"Series",32.3075668542664
"12",2016,"Series",32.191454008157
"13",2018,"Series",32.1556870786297
"14",2019,"Series",31.6420443348817
