"","Time","Var","Value"
"1",1992,"Series",33.096532814224
"2",1993,"Series",33.2471559404818
"3",1994,"Series",33.6316168198714
"4",1995,"Series",33.4460792038426
"5",1996,"Series",32.7993769802166
"6",1997,"Series",33.2732003127051
"7",1998,"Series",32.7154451558523
"8",1999,"Series",33.7395109902367
"9",2000,"Series",33.4204032946345
"10",2001,"Series",33.2378361940213
"11",2002,"Series",33.5584902842302
"12",2003,"Series",33.3206815256015
"13",2004,"Series",32.9875555698128
"14",2005,"Series",33.0470548661317
"15",2006,"Series",33.1821188092951
"16",2007,"Series",33.171600708003
"17",2008,"Series",33.0022386440601
"18",2009,"Series",33.3910784946354
"19",2010,"Series",33.3561264962665
"20",2011,"Series",33.0729281703724
"21",2012,"Series",33.6898252035469
"22",2013,"Series",33.4680652543113
"23",2014,"Series",33.7030254237278
"24",2015,"Series",33.7411137626101
"25",2016,"Series",33.55439540561
"26",2017,"Series",33.4096030810483
"27",2018,"Series",33.1692904890039
"28",2019,"Series",33.5509662427524
"29",1992,"Regime mean",33.2348515637247
"30",1993,"Regime mean",33.2348515637247
"31",1994,"Regime mean",33.2348515637247
"32",1995,"Regime mean",33.2348515637247
"33",1996,"Regime mean",33.2348515637247
"34",1997,"Regime mean",33.2348515637247
"35",1998,"Regime mean",33.2348515637247
"36",1999,"Regime mean",33.2348515637247
"37",2000,"Regime mean",33.2348515637247
"38",2001,"Regime mean",33.2348515637247
"39",2002,"Regime mean",33.2348515637247
"40",2003,"Regime mean",33.2348515637247
"41",2004,"Regime mean",33.2348515637247
"42",2005,"Regime mean",33.2348515637247
"43",2006,"Regime mean",33.2348515637247
"44",2007,"Regime mean",33.2348515637247
"45",2008,"Regime mean",33.2348515637247
"46",2009,"Regime mean",33.2348515637247
"47",2010,"Regime mean",33.2348515637247
"48",2011,"Regime mean",33.2348515637247
"49",2012,"Regime mean",33.5357856078263
"50",2013,"Regime mean",33.5357856078263
"51",2014,"Regime mean",33.5357856078263
"52",2015,"Regime mean",33.5357856078263
"53",2016,"Regime mean",33.5357856078263
"54",2017,"Regime mean",33.5357856078263
"55",2018,"Regime mean",33.5357856078263
"56",2019,"Regime mean",33.5357856078263
