"","Time","Var","Value"
"1",1997,"Series",1.16874597184221
"2",1998,"Series",0.971307608285377
"3",1999,"Series",1.54750982151175
"4",2000,"Series",1.7570398253444
"5",2002,"Series",1.69238103271507
"6",2003,"Series",1.40745826543593
"7",2004,"Series",1.3390867370032
"8",2005,"Series",1.604878889816
"9",2006,"Series",1.31281294089639
"10",2007,"Series",1.58944613151462
"11",2008,"Series",1.32774995793405
"12",2011,"Series",1.55843707469026
"13",2012,"Series",1.71447448300536
"14",2013,"Series",1.10659022200558
"15",2014,"Series",1.60237888110871
"16",2015,"Series",1.51323251268806
"17",2016,"Series",0.877168981249931
"18",2017,"Series",0.887837336605186
"19",2018,"Series",0.920078602122031
"20",2019,"Series",1.27737314941394
"21",1997,"Regime mean",1.45084564723731
"22",1998,"Regime mean",1.45084564723731
"23",1999,"Regime mean",1.45084564723731
"24",2000,"Regime mean",1.45084564723731
"25",2002,"Regime mean",1.45084564723731
"26",2003,"Regime mean",1.45084564723731
"27",2004,"Regime mean",1.45084564723731
"28",2005,"Regime mean",1.45084564723731
"29",2006,"Regime mean",1.45084564723731
"30",2007,"Regime mean",1.45084564723731
"31",2008,"Regime mean",1.45084564723731
"32",2011,"Regime mean",1.45084564723731
"33",2012,"Regime mean",1.45084564723731
"34",2013,"Regime mean",1.45084564723731
"35",2014,"Regime mean",1.45084564723731
"36",2015,"Regime mean",1.45084564723731
"37",2016,"Regime mean",0.990614517347773
"38",2017,"Regime mean",0.990614517347773
"39",2018,"Regime mean",0.990614517347773
"40",2019,"Regime mean",0.990614517347773
