"","Time","Var","Value"
"1",1968,"Series",5.30467476770667
"2",1969,"Series",5.93987004403252
"3",1970,"Series",5.90227927109382
"4",1971,"Series",5.91823733171432
"5",1972,"Series",6.45747422052355
"6",1973,"Series",6.83564925314982
"7",1974,"Series",7.41303991483237
"8",1975,"Series",6.49969695861604
"9",1976,"Series",7.18646715909787
"10",1977,"Series",5.49418180006579
"11",1978,"Series",4.70610069833999
"12",1979,"Series",5.71168575973488
"13",1980,"Series",5.93509579015593
"14",1981,"Series",5.69597153846706
"15",1982,"Series",5.76530769229144
"16",1983,"Series",6.4971668605163
"17",1984,"Series",6.31634131050738
"18",1985,"Series",6.86466297567906
"19",1986,"Series",7.09944220077887
"20",1987,"Series",5.91445061810671
"21",1988,"Series",6.48379757674449
"22",1989,"Series",6.24334670084836
"23",1990,"Series",6.69224902997968
"24",1991,"Series",6.99544444652822
"25",1992,"Series",6.31655557827421
"26",1993,"Series",5.28401544890239
"27",1994,"Series",6.42342429106791
"28",1995,"Series",7.1257237521091
"29",1996,"Series",5.50019064842309
"30",1997,"Series",6.88486839207571
"31",1998,"Series",6.16749725920407
"32",1999,"Series",6.98834999919266
"33",2000,"Series",7.40541324155802
"34",2001,"Series",6.51247707692133
"35",2002,"Series",7.89844265003911
"36",2003,"Series",5.35521304479875
"37",2004,"Series",5.00030556394227
"38",2005,"Series",5.56147373489042
"39",2006,"Series",7.21150851932224
"40",2007,"Series",6.09039162620496
"41",2008,"Series",7.06674105571999
"42",2009,"Series",6.22853228676801
"43",2010,"Series",6.73885256231768
"44",2011,"Series",6.54500942811008
"45",2012,"Series",8.66493926576455
"46",2013,"Series",7.06966710761388
"47",2014,"Series",6.09039862927079
"48",2015,"Series",5.93966442297198
"49",2016,"Series",7.7110197621802
"50",2017,"Series",6.63781567898579
"51",2018,"Series",6.90063495071406
"52",2019,"Series",6.98635994634946
"53",1968,"Trend",6.00713182400984
"54",1969,"Trend",6.02357772521247
"55",1970,"Trend",6.0400236264151
"56",1971,"Trend",6.05646952761773
"57",1972,"Trend",6.07291542882037
"58",1973,"Trend",6.089361330023
"59",1974,"Trend",6.10580723122564
"60",1975,"Trend",6.12225313242827
"61",1976,"Trend",6.1386990336309
"62",1977,"Trend",6.15514493483353
"63",1978,"Trend",6.17159083603617
"64",1979,"Trend",6.1880367372388
"65",1980,"Trend",6.20448263844144
"66",1981,"Trend",6.22092853964407
"67",1982,"Trend",6.2373744408467
"68",1983,"Trend",6.25382034204933
"69",1984,"Trend",6.27026624325197
"70",1985,"Trend",6.2867121444546
"71",1986,"Trend",6.30315804565724
"72",1987,"Trend",6.31960394685987
"73",1988,"Trend",6.3360498480625
"74",1989,"Trend",6.35249574926513
"75",1990,"Trend",6.36894165046777
"76",1991,"Trend",6.3853875516704
"77",1992,"Trend",6.40183345287304
"78",1993,"Trend",6.41827935407567
"79",1994,"Trend",6.43472525527831
"80",1995,"Trend",6.45117115648094
"81",1996,"Trend",6.46761705768357
"82",1997,"Trend",6.4840629588862
"83",1998,"Trend",6.50050886008884
"84",1999,"Trend",6.51695476129147
"85",2000,"Trend",6.53340066249411
"86",2001,"Trend",6.54984656369674
"87",2002,"Trend",6.56629246489937
"88",2003,"Trend",6.582738366102
"89",2004,"Trend",6.59918426730463
"90",2005,"Trend",6.61563016850727
"91",2006,"Trend",6.6320760697099
"92",2007,"Trend",6.64852197091254
"93",2008,"Trend",6.66496787211517
"94",2009,"Trend",6.6814137733178
"95",2010,"Trend",6.69785967452043
"96",2011,"Trend",6.71430557572307
"97",2012,"Trend",6.7307514769257
"98",2013,"Trend",6.74719737812834
"99",2014,"Trend",6.76364327933097
"100",2015,"Trend",6.7800891805336
"101",2016,"Trend",6.79653508173623
"102",2017,"Trend",6.81298098293887
"103",2018,"Trend",6.8294268841415
"104",2019,"Trend",6.84587278534414
