"","Time","Var","Value"
"1",1992,"Series",32.6010432741363
"2",1994,"Series",32.6876018716136
"3",1995,"Series",33.0431600411549
"4",1998,"Series",31.9835416948077
"5",2000,"Series",33.1295427303845
"6",2002,"Series",33.0654113468417
"7",2004,"Series",32.9941638922529
"8",2006,"Series",32.6062647934585
"9",2010,"Series",32.504646203627
"10",2011,"Series",32.3930689531555
"11",2014,"Series",32.9672676826887
"12",2016,"Series",32.844252146492
"13",2018,"Series",32.8651398811422
"14",2019,"Series",32.4066223827301
