"","Time","Var","Value"
"1",1992,"Series",32.2677716187123
"2",1994,"Series",32.3770910891463
"3",1995,"Series",32.3779473977052
"4",1998,"Series",31.5704012532976
"5",2000,"Series",32.6214349647281
"6",2002,"Series",32.5732702010355
"7",2004,"Series",32.4649180779804
"8",2006,"Series",32.3950301034563
"9",2010,"Series",31.8155630401442
"10",2011,"Series",31.8031391061474
"11",2014,"Series",32.5076888083124
"12",2016,"Series",32.3309875349489
"13",2018,"Series",32.3541136663603
"14",2019,"Series",31.9114919060348
