"","Time","Var","Value"
"1",1992,"Series",32.7090094194085
"2",1994,"Series",32.772928153348
"3",1995,"Series",33.3023679756358
"4",1998,"Series",32.1219674288385
"5",2000,"Series",33.3592474520144
"6",2002,"Series",33.3518132980867
"7",2004,"Series",33.141882922861
"8",2006,"Series",32.6492597400672
"9",2010,"Series",32.7919272779368
"10",2011,"Series",32.6522149094874
"11",2014,"Series",33.1596151702345
"12",2016,"Series",33.1082428549378
"13",2018,"Series",33.016562776481
"14",2019,"Series",32.5071144523654
