"","Time","Var","Value"
"1",1968,"Series",5.10075617460346
"2",1969,"Series",5.47657731556484
"3",1970,"Series",5.51131201201567
"4",1971,"Series",5.48999366050521
"5",1972,"Series",6.53224850562395
"6",1973,"Series",6.61680805114776
"7",1974,"Series",7.45718910449228
"8",1975,"Series",6.39615319816518
"9",1976,"Series",7.13627503587137
"10",1977,"Series",5.29257448363665
"11",1978,"Series",4.61120663232716
"12",1979,"Series",5.51768307309931
"13",1980,"Series",5.71959443208873
"14",1981,"Series",5.58709077364092
"15",1982,"Series",5.62852526413693
"16",1983,"Series",6.40349082428996
"17",1984,"Series",6.17886407149482
"18",1985,"Series",6.67495836361329
"19",1986,"Series",6.87361102210996
"20",1987,"Series",5.57063013102868
"21",1988,"Series",6.31176825024462
"22",1989,"Series",6.15861973046619
"23",1990,"Series",6.67573351878422
"24",1991,"Series",6.93433694363995
"25",1992,"Series",6.18508734673174
"26",1993,"Series",4.99759385517673
"27",1994,"Series",5.9004697379111
"28",1995,"Series",7.01669526282253
"29",1996,"Series",5.26660393458926
"30",1997,"Series",6.85472148229563
"31",1998,"Series",6.00703076973172
"32",1999,"Series",7.1409286701549
"33",2000,"Series",7.02768644881561
"34",2001,"Series",6.26316423536171
"35",2002,"Series",7.82211647433525
"36",2003,"Series",5.24175923479007
"37",2004,"Series",4.79081534639905
"38",2005,"Series",5.4828116806121
"39",2006,"Series",6.9921933069349
"40",2007,"Series",6.11047976779837
"41",2008,"Series",7.09521707260016
"42",2009,"Series",5.94204230631416
"43",2010,"Series",6.0540249573734
"44",2011,"Series",6.31123702036801
"45",2012,"Series",8.74895560680174
"46",2013,"Series",6.85314113987548
"47",2014,"Series",5.93388769250611
"48",2015,"Series",5.89475644930376
"49",2016,"Series",7.59655980857784
"50",2017,"Series",6.55452342527036
"51",2018,"Series",6.61808646398632
"52",2019,"Series",6.64932844194342
"53",1968,"Trend",5.82501649181896
"54",1969,"Trend",5.84183931303871
"55",1970,"Trend",5.85866213425846
"56",1971,"Trend",5.87548495547821
"57",1972,"Trend",5.89230777669795
"58",1973,"Trend",5.9091305979177
"59",1974,"Trend",5.92595341913745
"60",1975,"Trend",5.9427762403572
"61",1976,"Trend",5.95959906157695
"62",1977,"Trend",5.9764218827967
"63",1978,"Trend",5.99324470401645
"64",1979,"Trend",6.0100675252362
"65",1980,"Trend",6.02689034645594
"66",1981,"Trend",6.04371316767569
"67",1982,"Trend",6.06053598889544
"68",1983,"Trend",6.07735881011519
"69",1984,"Trend",6.09418163133493
"70",1985,"Trend",6.11100445255468
"71",1986,"Trend",6.12782727377443
"72",1987,"Trend",6.14465009499418
"73",1988,"Trend",6.16147291621392
"74",1989,"Trend",6.17829573743368
"75",1990,"Trend",6.19511855865343
"76",1991,"Trend",6.21194137987317
"77",1992,"Trend",6.22876420109292
"78",1993,"Trend",6.24558702231267
"79",1994,"Trend",6.26240984353242
"80",1995,"Trend",6.27923266475216
"81",1996,"Trend",6.29605548597191
"82",1997,"Trend",6.31287830719166
"83",1998,"Trend",6.32970112841141
"84",1999,"Trend",6.34652394963116
"85",2000,"Trend",6.3633467708509
"86",2001,"Trend",6.38016959207065
"87",2002,"Trend",6.39699241329041
"88",2003,"Trend",6.41381523451015
"89",2004,"Trend",6.4306380557299
"90",2005,"Trend",6.44746087694965
"91",2006,"Trend",6.4642836981694
"92",2007,"Trend",6.48110651938914
"93",2008,"Trend",6.49792934060889
"94",2009,"Trend",6.51475216182864
"95",2010,"Trend",6.53157498304839
"96",2011,"Trend",6.54839780426813
"97",2012,"Trend",6.56522062548788
"98",2013,"Trend",6.58204344670763
"99",2014,"Trend",6.59886626792738
"100",2015,"Trend",6.61568908914713
"101",2016,"Trend",6.63251191036688
"102",2017,"Trend",6.64933473158663
"103",2018,"Trend",6.66615755280638
"104",2019,"Trend",6.68298037402612
"105",1968,"Regime mean",5.62217753366263
"106",1969,"Regime mean",5.62217753366263
"107",1970,"Regime mean",5.62217753366263
"108",1971,"Regime mean",5.62217753366263
"109",1972,"Regime mean",5.62217753366263
"110",1973,"Regime mean",6.90160634741915
"111",1974,"Regime mean",6.90160634741915
"112",1975,"Regime mean",6.90160634741915
"113",1976,"Regime mean",6.90160634741915
"114",1977,"Regime mean",6.22754520818434
"115",1978,"Regime mean",6.22754520818434
"116",1979,"Regime mean",6.22754520818434
"117",1980,"Regime mean",6.22754520818434
"118",1981,"Regime mean",6.22754520818434
"119",1982,"Regime mean",6.22754520818434
"120",1983,"Regime mean",6.22754520818434
"121",1984,"Regime mean",6.22754520818434
"122",1985,"Regime mean",6.22754520818434
"123",1986,"Regime mean",6.22754520818434
"124",1987,"Regime mean",6.22754520818434
"125",1988,"Regime mean",6.22754520818434
"126",1989,"Regime mean",6.22754520818434
"127",1990,"Regime mean",6.22754520818434
"128",1991,"Regime mean",6.22754520818434
"129",1992,"Regime mean",6.22754520818434
"130",1993,"Regime mean",6.22754520818434
"131",1994,"Regime mean",6.22754520818434
"132",1995,"Regime mean",6.22754520818434
"133",1996,"Regime mean",6.22754520818434
"134",1997,"Regime mean",6.22754520818434
"135",1998,"Regime mean",6.22754520818434
"136",1999,"Regime mean",6.22754520818434
"137",2000,"Regime mean",6.22754520818434
"138",2001,"Regime mean",6.22754520818434
"139",2002,"Regime mean",6.22754520818434
"140",2003,"Regime mean",6.22754520818434
"141",2004,"Regime mean",6.22754520818434
"142",2005,"Regime mean",6.22754520818434
"143",2006,"Regime mean",6.22754520818434
"144",2007,"Regime mean",6.22754520818434
"145",2008,"Regime mean",6.22754520818434
"146",2009,"Regime mean",6.22754520818434
"147",2010,"Regime mean",6.22754520818434
"148",2011,"Regime mean",6.22754520818434
"149",2012,"Regime mean",6.22754520818434
"150",2013,"Regime mean",6.22754520818434
"151",2014,"Regime mean",6.22754520818434
"152",2015,"Regime mean",6.22754520818434
"153",2016,"Regime mean",6.22754520818434
"154",2017,"Regime mean",6.22754520818434
"155",2018,"Regime mean",6.22754520818434
"156",2019,"Regime mean",6.22754520818434
