"","Time","Var","Value"
"1",1998,"Series",1.11954680826981
"2",1999,"Series",1.45425053520628
"3",2000,"Series",1.82261802746691
"4",2002,"Series",1.42409287142586
"5",2003,"Series",2.18740075598731
"6",2004,"Series",1.87115381429596
"7",2005,"Series",1.04614113986127
"8",2006,"Series",1.41344108210418
"9",2007,"Series",1.32048891650775
"10",2008,"Series",1.71494170169494
"11",2009,"Series",0.987053850542671
"12",2011,"Series",1.0870639823692
"13",2012,"Series",0.985528975411385
"14",2014,"Series",1.39223683055076
"15",2015,"Series",1.04047026740478
"16",2016,"Series",0.98529396102495
"17",2018,"Series",0.935973741732108
"18",2019,"Series",0.843766492060145
"19",1998,"Trend",1.6637018322842
"20",1999,"Trend",1.62083869273307
"21",2000,"Trend",1.57797555318196
"22",2002,"Trend",1.53511241363083
"23",2003,"Trend",1.4922492740797
"24",2004,"Trend",1.44938613452858
"25",2005,"Trend",1.40652299497745
"26",2006,"Trend",1.36365985542632
"27",2007,"Trend",1.3207967158752
"28",2008,"Trend",1.27793357632409
"29",2009,"Trend",1.23507043677296
"30",2011,"Trend",1.19220729722183
"31",2012,"Trend",1.14934415767071
"32",2014,"Trend",1.10648101811958
"33",2015,"Trend",1.06361787856846
"34",2016,"Trend",1.02075473901733
"35",2018,"Trend",0.977891599466204
"36",2019,"Trend",0.935028459915088
"37",1998,"Regime mean",1.53740756528203
"38",1999,"Regime mean",1.53740756528203
"39",2000,"Regime mean",1.53740756528203
"40",2002,"Regime mean",1.53740756528203
"41",2003,"Regime mean",1.53740756528203
"42",2004,"Regime mean",1.53740756528203
"43",2005,"Regime mean",1.53740756528203
"44",2006,"Regime mean",1.53740756528203
"45",2007,"Regime mean",1.53740756528203
"46",2008,"Regime mean",1.53740756528203
"47",2009,"Regime mean",1.032173512637
"48",2011,"Regime mean",1.032173512637
"49",2012,"Regime mean",1.032173512637
"50",2014,"Regime mean",1.032173512637
"51",2015,"Regime mean",1.032173512637
"52",2016,"Regime mean",1.032173512637
"53",2018,"Regime mean",1.032173512637
"54",2019,"Regime mean",1.032173512637
