"","Time","Var","Value"
"1",1968,"Series",13.9179509816066
"2",1969,"Series",13.5747090880969
"3",1970,"Series",13.8784187435284
"4",1971,"Series",15.0548553063813
"5",1972,"Series",13.3125278146912
"6",1973,"Series",13.8963049962695
"7",1974,"Series",13.914639954336
"8",1975,"Series",13.9725883912012
"9",1976,"Series",13.9262482464236
"10",1977,"Series",13.8308519947295
"11",1978,"Series",13.3152519687556
"12",1979,"Series",14.1606260934649
"13",1980,"Series",13.6995562897899
"14",1981,"Series",13.3835411941883
"15",1982,"Series",13.820108665629
"16",1983,"Series",14.1820685621692
"17",1984,"Series",14.1280895640833
"18",1985,"Series",15.1866229152306
"19",1986,"Series",13.7730850017081
"20",1987,"Series",14.2329664753981
"21",1988,"Series",12.9222823965998
"22",1989,"Series",13.6547631682027
"23",1990,"Series",13.6019740118387
"24",1991,"Series",13.8871970260845
"25",1992,"Series",13.4389977308061
"26",1993,"Series",13.4090190378802
"27",1994,"Series",13.5348192527833
"28",1995,"Series",14.7156712109986
"29",1996,"Series",12.6629767237698
"30",1997,"Series",13.8823736482411
"31",1998,"Series",13.5055191452922
"32",1999,"Series",14.8627677153441
"33",2000,"Series",14.0040628299603
"34",2001,"Series",14.400175777262
"35",2002,"Series",15.1345392016605
"36",2003,"Series",14.4074649578161
"37",2004,"Series",13.6493159575034
"38",2005,"Series",14.8619570953971
"39",2006,"Series",14.3073431914961
"40",2007,"Series",14.4158918484957
"41",2008,"Series",13.9767959004557
"42",2009,"Series",14.0241751246506
"43",2010,"Series",14.3058963062622
"44",2011,"Series",14.9417192648693
"45",2012,"Series",16.1099589632505
"46",2013,"Series",14.6934195155141
"47",2014,"Series",15.5131628466127
"48",2015,"Series",15.4499611018338
"49",2016,"Series",15.7863010239998
"50",2017,"Series",15.8832033653449
"51",2018,"Series",15.4648362251796
"52",2019,"Series",15.274266416903
"53",1968,"Trend",13.4690406603349
"54",1969,"Trend",13.4994955812465
"55",1970,"Trend",13.529950502158
"56",1971,"Trend",13.5604054230696
"57",1972,"Trend",13.5908603439812
"58",1973,"Trend",13.6213152648927
"59",1974,"Trend",13.6517701858043
"60",1975,"Trend",13.6822251067159
"61",1976,"Trend",13.7126800276274
"62",1977,"Trend",13.743134948539
"63",1978,"Trend",13.7735898694506
"64",1979,"Trend",13.8040447903621
"65",1980,"Trend",13.8344997112737
"66",1981,"Trend",13.8649546321853
"67",1982,"Trend",13.8954095530968
"68",1983,"Trend",13.9258644740084
"69",1984,"Trend",13.95631939492
"70",1985,"Trend",13.9867743158315
"71",1986,"Trend",14.0172292367431
"72",1987,"Trend",14.0476841576547
"73",1988,"Trend",14.0781390785662
"74",1989,"Trend",14.1085939994778
"75",1990,"Trend",14.1390489203894
"76",1991,"Trend",14.1695038413009
"77",1992,"Trend",14.1999587622125
"78",1993,"Trend",14.2304136831241
"79",1994,"Trend",14.2608686040356
"80",1995,"Trend",14.2913235249472
"81",1996,"Trend",14.3217784458588
"82",1997,"Trend",14.3522333667703
"83",1998,"Trend",14.3826882876819
"84",1999,"Trend",14.4131432085935
"85",2000,"Trend",14.443598129505
"86",2001,"Trend",14.4740530504166
"87",2002,"Trend",14.5045079713282
"88",2003,"Trend",14.5349628922397
"89",2004,"Trend",14.5654178131513
"90",2005,"Trend",14.5958727340628
"91",2006,"Trend",14.6263276549744
"92",2007,"Trend",14.656782575886
"93",2008,"Trend",14.6872374967975
"94",2009,"Trend",14.7176924177091
"95",2010,"Trend",14.7481473386207
"96",2011,"Trend",14.7786022595322
"97",2012,"Trend",14.8090571804438
"98",2013,"Trend",14.8395121013554
"99",2014,"Trend",14.8699670222669
"100",2015,"Trend",14.9004219431785
"101",2016,"Trend",14.9308768640901
"102",2017,"Trend",14.9613317850016
"103",2018,"Trend",14.9917867059132
"104",2019,"Trend",15.0222416268248
"105",1968,"Regime mean",13.9703951513135
"106",1969,"Regime mean",13.9703951513135
"107",1970,"Regime mean",13.9703951513135
"108",1971,"Regime mean",13.9703951513135
"109",1972,"Regime mean",13.9703951513135
"110",1973,"Regime mean",13.9703951513135
