"","Time","Var","Value"
"1",1992,"Series",32.9468019229663
"2",1993,"Series",33.1421011742583
"3",1994,"Series",33.5308964677964
"4",1995,"Series",33.2583853595607
"5",1996,"Series",32.4520353013521
"6",1997,"Series",33.1356339852969
"7",1998,"Series",32.5443776434173
"8",1999,"Series",33.7646287297557
"9",2000,"Series",33.2954646980621
"10",2001,"Series",33.1608689137363
"11",2002,"Series",33.4096046295731
"12",2003,"Series",33.2217883194719
"13",2004,"Series",32.8087093549367
"14",2005,"Series",32.8264485111576
"15",2006,"Series",32.9427100961519
"16",2007,"Series",33.0494689504395
"17",2008,"Series",32.7648872961653
"18",2009,"Series",33.2880069415318
"19",2010,"Series",33.1852936826628
"20",2011,"Series",32.842853507396
"21",2012,"Series",33.6329893244025
"22",2013,"Series",33.3552119880059
"23",2014,"Series",33.6145354786945
"24",2015,"Series",33.6532976760262
"25",2016,"Series",33.4100933807098
"26",2017,"Series",33.3380900086026
"27",2018,"Series",32.946164735448
"28",2019,"Series",33.3051086152467
"29",1992,"Regime mean",33.0785482742844
"30",1993,"Regime mean",33.0785482742844
"31",1994,"Regime mean",33.0785482742844
"32",1995,"Regime mean",33.0785482742844
"33",1996,"Regime mean",33.0785482742844
"34",1997,"Regime mean",33.0785482742844
"35",1998,"Regime mean",33.0785482742844
"36",1999,"Regime mean",33.0785482742844
"37",2000,"Regime mean",33.0785482742844
"38",2001,"Regime mean",33.0785482742844
"39",2002,"Regime mean",33.0785482742844
"40",2003,"Regime mean",33.0785482742844
"41",2004,"Regime mean",33.0785482742844
"42",2005,"Regime mean",33.0785482742844
"43",2006,"Regime mean",33.0785482742844
"44",2007,"Regime mean",33.0785482742844
"45",2008,"Regime mean",33.0785482742844
"46",2009,"Regime mean",33.0785482742844
"47",2010,"Regime mean",33.0785482742844
"48",2011,"Regime mean",33.0785482742844
"49",2012,"Regime mean",33.406936400892
"50",2013,"Regime mean",33.406936400892
"51",2014,"Regime mean",33.406936400892
"52",2015,"Regime mean",33.406936400892
"53",2016,"Regime mean",33.406936400892
"54",2017,"Regime mean",33.406936400892
"55",2018,"Regime mean",33.406936400892
"56",2019,"Regime mean",33.406936400892
