"","Time","Acartia spp.","Calanus finmarchicus","Centropages hamatus","Centropages typicus","Metridia lucens","Oithona spp.","Pseudocalanus spp.","Temora longicornis"
"1",1977,0,3.36900787343434,1.81111419872271,3.35176726694064,2.50523539111295,2.20876935523317,4.1216369003798,1.78360423426142
"2",1978,0,2.91513444539324,1.25489724716752,2.94939764165824,1.82639047824621,1.45389192050773,4.21370870186479,1.10717820419928
"3",1979,1.23012193998807,2.62842064723124,1.26872812096187,3.69966771900725,1.88700698780681,0.848810633897879,3.78143371154585,1.88386236120114
"4",1980,0.593975815561094,3.34704602123593,2.21837447874017,3.94056185388454,2.71327141378,1.36308371428548,3.96588649731386,2.14893987621052
"5",1981,1.44142099908789,3.49212740229759,1.40662584333297,3.38346529527413,2.28490329715803,1.5140741713941,4.22137844843162,2.14100147311267
"6",1982,1.49926752022397,3.36580039952794,1.61682909913729,3.41748900683566,2.13075729035187,1.9741425492121,4.09843081003253,1.78093474590433
"7",1983,0.855864075507161,3.47437834597735,1.48534827006598,3.46975571574534,2.15884318854637,2.23295930721507,3.42625246495858,1.67554270453685
"8",1984,0.835645537513392,3.10258010161696,1.37149756310683,3.41932698252614,2.18937598039751,0.869921063482112,3.88294500763393,1.6773032007537
"9",1985,1.16975798720707,3.35429367029991,1.62075005784594,3.73929632668571,2.30351588732506,1.84801153678125,3.5980070242503,1.34796943631094
"10",1986,1.01221495477525,3.71321409146111,1.87592667948561,3.80771355188633,1.60404397101848,1.09341256661029,3.03386390264873,0
"11",1987,1.1833744635888,4.35785922104562,2.58621260843075,3.49096663400953,3.23758683375245,1.73833019529927,4.06369500874755,2.80905416038695
"12",1988,0.796139620831259,3.61651419058909,1.47311044274929,3.70041283445367,2.4726856225238,2.39388803621752,3.97857689512623,2.26944239642358
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,NA,NA,NA,NA,NA,NA,NA,NA
"16",1992,0.618925293946093,2.99202256529011,1.49126907013544,4.01442709739399,3.12520501747066,3.0622285322778,3.67417866484512,2.28769573485981
"17",1993,0.745378839286777,3.58811870895421,1.14097109252675,3.83182929129246,3.3475678425865,3.22645691534677,4.01449257705328,2.57694700138107
"18",1994,NA,NA,NA,NA,NA,NA,NA,NA
"19",1995,0,2.653873197066,1.68933025586861,4.0330042220736,2.80385951546963,2.85781765107231,3.18369449737594,2.20776500968704
"20",1996,0,3.3925701030243,2.43235909381327,4.23645751000369,3.31183796862992,2.94384074182202,3.61313642121597,2.6752650965092
"21",1997,0,1.97027332496048,1.79823056515753,4.23706860314337,3.09298731398676,3.49540329442678,4.01446356942383,2.61598307479486
"22",1998,0,3.9166967098789,2.58590602993947,4.23242575223898,3.34801572302019,3.29107413718528,4.14305440528815,3.37022455143574
"23",1999,0,3.11821917068153,1.33549600850368,4.1662280044067,3.495287344781,3.29357621236453,4.01429534726161,2.08628034721317
"24",2000,0,2.89813205948465,1.37922167797938,4.50673966469097,2.06549327967869,3.0513456888977,3.69962972563618,1.74164860826515
"25",2001,0,2.15739513907961,1.94724781886739,4.50461473322479,3.30533694372945,3.46372215657549,3.42503867154797,2.60190736735475
"26",2002,0,2.20227304080121,1.37415819907419,4.21354333991201,2.30484346103095,2.94823855699025,2.13920601348965,1.35864888731743
"27",2003,0,3.37575670675068,1.29641657770476,4.01570315806805,2.74820852273791,3.02864825015009,2.74100211943332,2.04293118704015
"28",2004,0,4.04658730470083,1.24949438612681,3.97140168525676,3.12009315236091,3.20495509699751,3.50687268999292,1.90126496215553
"29",2005,0,3.80141324898192,1.74531293328955,3.28488160446014,3.11583802750495,2.83563339516279,3.88981987591284,2.53321051727009
"30",2006,0.722783209320964,3.64186855337918,1.28723238327896,3.86598957546842,2.73068343564426,2.35602075781578,2.66258503445435,0.843600295590691
"31",2007,0,2.25772620627693,1.44449859124818,3.71397741967663,2.12990033596018,2.48721782177754,1.49947614848222,1.3785534568383
"32",2008,0,3.49503291088152,1.6260496913107,3.99145659172104,2.2128355596824,2.16079486585986,3.48887661968374,1.95111652774953
"33",2009,0,3.46331848807616,1.75325605757071,4.01306884608251,2.38834755959715,2.5194995373369,2.72898191543072,2.06274780123791
"34",2010,0,3.56374059183236,1.45738762737853,3.63489826790024,2.65391491320409,2.69277120477087,3.47544573194325,1.49617755995979
"35",2011,1.0899293624888,2.86578125429499,1.76300513761785,3.83228180227997,2.74827300840965,2.5278904268646,3.49979045523156,1.92281552239208
"36",2012,0,3.21290307536982,1.64677065393176,4.07990091213922,1.43725395937908,2.30022813964003,1.44780094054821,1.08574269463482
"37",2013,0,3.44235203664055,1.27309214512045,4.05820518806861,1.77664009684188,3.03614086396181,2.35140493943745,2.47466146994168
"38",2014,0,3.90613098974304,1.83060850503941,3.87251693228248,2.89617334161089,3.58032261822033,3.73841569618566,2.92639789964139
"39",2015,0,3.02635655470217,2.0321219709705,3.84775513410872,2.18546808466316,3.23248287075438,3.71228415947302,3.67931863856658
"40",2016,NA,NA,NA,NA,NA,NA,NA,NA
"41",2017,0,1.99627222185604,2.10770555984752,4.08901204983772,1.54214385465126,2.84830079748407,1.92742612450526,2.10259735433293
