"","Time","Var","Value"
"1",1968,"Series",11.5149491305824
"2",1969,"Series",11.7093284081763
"3",1970,"Series",11.0525360159014
"4",1971,"Series",11.8331825607038
"5",1972,"Series",11.9948276719847
"6",1973,"Series",12.8886657225257
"7",1974,"Series",12.6286812646672
"8",1975,"Series",11.6814592123853
"9",1976,"Series",12.8842149365582
"10",1977,"Series",12.386814722547
"11",1978,"Series",11.4382351856374
"12",1979,"Series",12.6327289124504
"13",1980,"Series",12.7715161151494
"14",1981,"Series",11.3661802748758
"15",1982,"Series",11.8032452739343
"16",1983,"Series",11.7642288415826
"17",1984,"Series",12.4583530493538
"18",1985,"Series",13.2570319862743
"19",1986,"Series",12.6667862651785
"20",1987,"Series",10.661334480136
"21",1988,"Series",10.9547537191828
"22",1989,"Series",11.6516696493323
"23",1990,"Series",12.1475512826169
"24",1991,"Series",12.1683836496908
"25",1992,"Series",11.9934623159896
"26",1993,"Series",12.1756654023105
"27",1994,"Series",12.5716752381965
"28",1995,"Series",13.4191051539316
"29",1996,"Series",10.6956509514683
"30",1997,"Series",12.474274907109
"31",1998,"Series",11.4220476858581
"32",1999,"Series",13.753900949394
"33",2000,"Series",12.2002839051116
"34",2001,"Series",12.0763037139384
"35",2002,"Series",13.2939022786657
"36",2003,"Series",11.6578426046497
"37",2004,"Series",11.1358335611783
"38",2005,"Series",12.1293895464995
"39",2006,"Series",12.2206900113669
"40",2007,"Series",11.3990160639396
"41",2008,"Series",13.48894704687
"42",2009,"Series",12.6352554834162
"43",2010,"Series",12.781900127072
"44",2011,"Series",13.0180468509393
"45",2012,"Series",13.8195459984242
"46",2013,"Series",12.9328494573612
"47",2014,"Series",13.7220538516935
"48",2015,"Series",13.5369047224035
"49",2016,"Series",14.0891865977509
"50",2017,"Series",13.267822491343
"51",2018,"Series",13.0467761116193
"52",2019,"Series",13.5867672537042
"53",1968,"Trend",11.6536081835164
"54",1969,"Trend",11.681416730327
"55",1970,"Trend",11.7092252771375
"56",1971,"Trend",11.737033823948
"57",1972,"Trend",11.7648423707586
"58",1973,"Trend",11.7926509175691
"59",1974,"Trend",11.8204594643797
"60",1975,"Trend",11.8482680111902
"61",1976,"Trend",11.8760765580007
"62",1977,"Trend",11.9038851048113
"63",1978,"Trend",11.9316936516218
"64",1979,"Trend",11.9595021984324
"65",1980,"Trend",11.9873107452429
"66",1981,"Trend",12.0151192920534
"67",1982,"Trend",12.042927838864
"68",1983,"Trend",12.0707363856745
"69",1984,"Trend",12.0985449324851
"70",1985,"Trend",12.1263534792956
"71",1986,"Trend",12.1541620261062
"72",1987,"Trend",12.1819705729167
"73",1988,"Trend",12.2097791197272
"74",1989,"Trend",12.2375876665378
"75",1990,"Trend",12.2653962133483
"76",1991,"Trend",12.2932047601589
"77",1992,"Trend",12.3210133069694
"78",1993,"Trend",12.3488218537799
"79",1994,"Trend",12.3766304005905
"80",1995,"Trend",12.404438947401
"81",1996,"Trend",12.4322474942116
"82",1997,"Trend",12.4600560410221
"83",1998,"Trend",12.4878645878327
"84",1999,"Trend",12.5156731346432
"85",2000,"Trend",12.5434816814537
"86",2001,"Trend",12.5712902282643
"87",2002,"Trend",12.5990987750748
"88",2003,"Trend",12.6269073218854
"89",2004,"Trend",12.6547158686959
"90",2005,"Trend",12.6825244155064
"91",2006,"Trend",12.710332962317
"92",2007,"Trend",12.7381415091275
"93",2008,"Trend",12.7659500559381
"94",2009,"Trend",12.7937586027486
"95",2010,"Trend",12.8215671495592
"96",2011,"Trend",12.8493756963697
"97",2012,"Trend",12.8771842431802
"98",2013,"Trend",12.9049927899908
"99",2014,"Trend",12.9328013368013
"100",2015,"Trend",12.9606098836119
"101",2016,"Trend",12.9884184304224
"102",2017,"Trend",13.0162269772329
"103",2018,"Trend",13.0440355240435
"104",2019,"Trend",13.071844070854
"105",1968,"Regime mean",12.0733925655259
"106",1969,"Regime mean",12.0733925655259
"107",1970,"Regime mean",12.0733925655259
"108",1971,"Regime mean",12.0733925655259
"109",1972,"Regime mean",12.0733925655259
"110",1973,"Regime mean",12.0733925655259
"111",1974,"Regime mean",12.0733925655259
"112",1975,"Regime mean",12.0733925655259
"113",1976,"Regime mean",12.0733925655259
"114",1977,"Regime mean",12.0733925655259
"115",1978,"Regime mean",12.0733925655259
"116",1979,"Regime mean",12.0733925655259
"117",1980,"Regime mean",12.0733925655259
"118",1981,"Regime mean",12.0733925655259
"119",1982,"Regime mean",12.0733925655259
"120",1983,"Regime mean",12.0733925655259
"121",1984,"Regime mean",12.0733925655259
"122",1985,"Regime mean",12.0733925655259
"123",1986,"Regime mean",12.0733925655259
"124",1987,"Regime mean",12.0733925655259
"125",1988,"Regime mean",12.0733925655259
"126",1989,"Regime mean",12.0733925655259
"127",1990,"Regime mean",12.0733925655259
"128",1991,"Regime mean",12.0733925655259
"129",1992,"Regime mean",12.0733925655259
"130",1993,"Regime mean",12.0733925655259
"131",1994,"Regime mean",12.0733925655259
"132",1995,"Regime mean",12.0733925655259
"133",1996,"Regime mean",12.0733925655259
"134",1997,"Regime mean",12.0733925655259
"135",1998,"Regime mean",12.0733925655259
"136",1999,"Regime mean",12.0733925655259
"137",2000,"Regime mean",12.0733925655259
"138",2001,"Regime mean",12.0733925655259
"139",2002,"Regime mean",12.0733925655259
"140",2003,"Regime mean",12.0733925655259
"141",2004,"Regime mean",12.0733925655259
"142",2005,"Regime mean",12.0733925655259
"143",2006,"Regime mean",12.0733925655259
"144",2007,"Regime mean",12.0733925655259
"145",2008,"Regime mean",13.3271713327165
"146",2009,"Regime mean",13.3271713327165
"147",2010,"Regime mean",13.3271713327165
"148",2011,"Regime mean",13.3271713327165
"149",2012,"Regime mean",13.3271713327165
"150",2013,"Regime mean",13.3271713327165
"151",2014,"Regime mean",13.3271713327165
