"","Time","Var","Value"
"1",1968,"Series",14.8990990012408
"2",1969,"Series",14.2531239413709
"3",1970,"Series",14.6643938800588
"4",1971,"Series",15.9038418281664
"5",1972,"Series",13.9650114856535
"6",1973,"Series",14.917883002147
"7",1974,"Series",15.1268871174442
"8",1975,"Series",14.5742168517684
"9",1976,"Series",14.9035292177535
"10",1977,"Series",14.6257469374011
"11",1978,"Series",14.225092640231
"12",1979,"Series",15.2508656734917
"13",1980,"Series",15.1160872320103
"14",1981,"Series",13.8396497510603
"15",1982,"Series",14.6385360658353
"16",1983,"Series",15.3396173911992
"17",1984,"Series",14.8180524322895
"18",1985,"Series",16.1592712181231
"19",1986,"Series",14.5441711572689
"20",1987,"Series",15.0268312133396
"21",1988,"Series",13.693787239889
"22",1989,"Series",14.3669837982367
"23",1990,"Series",13.4331078079546
"24",1991,"Series",15.0284099259051
"25",1992,"Series",14.5706444974827
"26",1993,"Series",14.7486701544652
"27",1994,"Series",14.206027140045
"28",1995,"Series",16.1074338535112
"29",1996,"Series",13.1049004112476
"30",1997,"Series",14.9112424148399
"31",1998,"Series",14.5144741289176
"32",1999,"Series",16.2800429528203
"33",2000,"Series",14.8398321826373
"34",2001,"Series",15.729448300782
"35",2002,"Series",16.4071257872311
"36",2003,"Series",15.8758552186042
"37",2004,"Series",14.5930249056883
"38",2005,"Series",16.3776235422397
"39",2006,"Series",15.0389630327085
"40",2007,"Series",15.2394926126692
"41",2008,"Series",14.6348380744514
"42",2009,"Series",14.6989053031045
"43",2010,"Series",15.0371719548221
"44",2011,"Series",16.0044588183039
"45",2012,"Series",17.3572460419395
"46",2013,"Series",15.7383442852648
"47",2014,"Series",16.4413038491995
"48",2015,"Series",16.9745531273067
"49",2016,"Series",16.8826628828882
"50",2017,"Series",16.7005074119383
"51",2018,"Series",16.2484356705509
"52",2019,"Series",16.2956846830619
"53",1968,"Trend",14.3035094788082
"54",1969,"Trend",14.3378862819646
"55",1970,"Trend",14.3722630851209
"56",1971,"Trend",14.4066398882773
"57",1972,"Trend",14.4410166914336
"58",1973,"Trend",14.47539349459
"59",1974,"Trend",14.5097702977463
"60",1975,"Trend",14.5441471009026
"61",1976,"Trend",14.578523904059
"62",1977,"Trend",14.6129007072153
"63",1978,"Trend",14.6472775103717
"64",1979,"Trend",14.681654313528
"65",1980,"Trend",14.7160311166843
"66",1981,"Trend",14.7504079198407
"67",1982,"Trend",14.784784722997
"68",1983,"Trend",14.8191615261534
"69",1984,"Trend",14.8535383293097
"70",1985,"Trend",14.8879151324661
"71",1986,"Trend",14.9222919356224
"72",1987,"Trend",14.9566687387788
"73",1988,"Trend",14.9910455419351
"74",1989,"Trend",15.0254223450914
"75",1990,"Trend",15.0597991482478
"76",1991,"Trend",15.0941759514041
"77",1992,"Trend",15.1285527545605
"78",1993,"Trend",15.1629295577168
"79",1994,"Trend",15.1973063608732
"80",1995,"Trend",15.2316831640295
"81",1996,"Trend",15.2660599671859
"82",1997,"Trend",15.3004367703422
"83",1998,"Trend",15.3348135734985
"84",1999,"Trend",15.3691903766549
"85",2000,"Trend",15.4035671798112
"86",2001,"Trend",15.4379439829676
"87",2002,"Trend",15.4723207861239
"88",2003,"Trend",15.5066975892803
"89",2004,"Trend",15.5410743924366
"90",2005,"Trend",15.5754511955929
"91",2006,"Trend",15.6098279987493
"92",2007,"Trend",15.6442048019056
"93",2008,"Trend",15.678581605062
"94",2009,"Trend",15.7129584082183
"95",2010,"Trend",15.7473352113747
"96",2011,"Trend",15.781712014531
"97",2012,"Trend",15.8160888176873
"98",2013,"Trend",15.8504656208437
"99",2014,"Trend",15.884842424
"100",2015,"Trend",15.9192192271564
"101",2016,"Trend",15.9535960303127
"102",2017,"Trend",15.9879728334691
"103",2018,"Trend",16.0223496366254
"104",2019,"Trend",16.0567264397818
"105",1968,"Regime mean",14.7453777135093
"106",1969,"Regime mean",14.7453777135093
"107",1970,"Regime mean",14.7453777135093
"108",1971,"Regime mean",14.7453777135093
"109",1972,"Regime mean",14.7453777135093
"110",1973,"Regime mean",14.7453777135093
"111",1974,"Regime mean",14.7453777135093
"112",1975,"Regime mean",14.7453777135093
"113",1976,"Regime mean",14.7453777135093
"114",1977,"Regime mean",14.7453777135093
"115",1978,"Regime mean",14.7453777135093
"116",1979,"Regime mean",14.7453777135093
"117",1980,"Regime mean",14.7453777135093
"118",1981,"Regime mean",14.7453777135093
"119",1982,"Regime mean",14.7453777135093
"120",1983,"Regime mean",14.7453777135093
"121",1984,"Regime mean",14.7453777135093
"122",1985,"Regime mean",14.7453777135093
"123",1986,"Regime mean",14.7453777135093
"124",1987,"Regime mean",14.7453777135093
"125",1988,"Regime mean",14.7453777135093
"126",1989,"Regime mean",14.7453777135093
"127",1990,"Regime mean",14.7453777135093
"128",1991,"Regime mean",14.7453777135093
"129",1992,"Regime mean",14.7453777135093
"130",1993,"Regime mean",14.7453777135093
"131",1994,"Regime mean",14.7453777135093
"132",1995,"Regime mean",14.7453777135093
"133",1996,"Regime mean",14.7453777135093
"134",1997,"Regime mean",14.7453777135093
"135",1998,"Regime mean",14.7453777135093
"136",1999,"Regime mean",14.7453777135093
"137",2000,"Regime mean",14.7453777135093
"138",2001,"Regime mean",15.421537050055
"139",2002,"Regime mean",15.421537050055
"140",2003,"Regime mean",15.421537050055
"141",2004,"Regime mean",15.421537050055
"142",2005,"Regime mean",15.421537050055
"143",2006,"Regime mean",15.421537050055
"144",2007,"Regime mean",15.421537050055
"145",2008,"Regime mean",15.421537050055
"146",2009,"Regime mean",15.421537050055
"147",2010,"Regime mean",15.421537050055
"148",2011,"Regime mean",15.421537050055
"149",2012,"Regime mean",16.5798422440187
"150",2013,"Regime mean",16.5798422440187
"151",2014,"Regime mean",16.5798422440187
"152",2015,"Regime mean",16.5798422440187
"153",2016,"Regime mean",16.5798422440187
"154",2017,"Regime mean",16.5798422440187
"155",2018,"Regime mean",16.5798422440187
"156",2019,"Regime mean",16.5798422440187
