"","Time","Var","Value"
"1",1992,"Series",32.5257696577736
"2",1994,"Series",32.7584364825761
"3",1995,"Series",32.8593214008662
"4",1998,"Series",31.9714260520032
"5",2000,"Series",33.0560295990348
"6",2002,"Series",32.8050018199876
"7",2004,"Series",32.8761217865905
"8",2006,"Series",32.5246840786784
"9",2010,"Series",32.5747506935277
"10",2011,"Series",32.4021474697999
"11",2014,"Series",32.9432448935183
"12",2016,"Series",32.7744781693269
"13",2018,"Series",32.9959486923398
"14",2019,"Series",32.4447634548103
