"","Time","Var","Value"
"1",1968,"Series",7.98588471450413
"2",1969,"Series",9.11905919984161
"3",1970,"Series",8.3708236143577
"4",1971,"Series",8.73718849659216
"5",1972,"Series",8.69410395533519
"6",1973,"Series",8.76190367329051
"7",1974,"Series",9.02360658312421
"8",1975,"Series",8.38194186495729
"9",1976,"Series",8.99418288529839
"10",1977,"Series",8.74124454986145
"11",1978,"Series",7.76292576232303
"12",1979,"Series",8.26641014377441
"13",1980,"Series",8.11185261169789
"14",1981,"Series",8.35981114328046
"15",1982,"Series",8.74330703856187
"16",1983,"Series",8.73927008824877
"17",1984,"Series",9.50453568861379
"18",1985,"Series",9.27448250244513
"19",1986,"Series",9.31702295438166
"20",1987,"Series",7.46421293978003
"21",1988,"Series",9.0691038672048
"22",1989,"Series",8.31944952577529
"23",1990,"Series",9.34517645080337
"24",1991,"Series",8.49975469326391
"25",1992,"Series",7.90078291014154
"26",1993,"Series",7.76666126283968
"27",1994,"Series",9.7691533156696
"28",1995,"Series",9.26002519474188
"29",1996,"Series",9.07314099826242
"30",1997,"Series",8.86221333188767
"31",1998,"Series",7.71069990660172
"32",1999,"Series",9.02035102560107
"33",2000,"Series",9.07428030549261
"34",2001,"Series",8.70720936466138
"35",2002,"Series",9.73254111004563
"36",2003,"Series",8.17626955230148
"37",2004,"Series",8.10222291687065
"38",2005,"Series",8.81510053815544
"39",2006,"Series",9.47869663987356
"40",2007,"Series",7.92963698454673
"41",2008,"Series",9.28800783114075
"42",2009,"Series",9.64211703308148
"43",2010,"Series",9.93531051938985
"44",2011,"Series",9.69642340597897
"45",2012,"Series",10.2820912872002
"46",2013,"Series",9.4650797771843
"47",2014,"Series",10.693243542267
"48",2015,"Series",9.15136925132384
"49",2016,"Series",11.0595845837261
"50",2017,"Series",9.27585725027056
"51",2018,"Series",9.9866367641246
"52",2019,"Series",10.0435627161194
"53",1968,"Trend",8.25722303442319
"54",1969,"Trend",8.28445525650223
"55",1970,"Trend",8.31168747858128
"56",1971,"Trend",8.33891970066032
"57",1972,"Trend",8.36615192273936
"58",1973,"Trend",8.3933841448184
"59",1974,"Trend",8.42061636689744
"60",1975,"Trend",8.44784858897648
"61",1976,"Trend",8.47508081105553
"62",1977,"Trend",8.50231303313457
"63",1978,"Trend",8.52954525521361
"64",1979,"Trend",8.55677747729266
"65",1980,"Trend",8.5840096993717
"66",1981,"Trend",8.61124192145074
"67",1982,"Trend",8.63847414352978
"68",1983,"Trend",8.66570636560883
"69",1984,"Trend",8.69293858768787
"70",1985,"Trend",8.72017080976691
"71",1986,"Trend",8.74740303184596
"72",1987,"Trend",8.774635253925
"73",1988,"Trend",8.80186747600404
"74",1989,"Trend",8.82909969808308
"75",1990,"Trend",8.85633192016213
"76",1991,"Trend",8.88356414224117
"77",1992,"Trend",8.91079636432021
"78",1993,"Trend",8.93802858639926
"79",1994,"Trend",8.96526080847829
"80",1995,"Trend",8.99249303055733
"81",1996,"Trend",9.01972525263638
"82",1997,"Trend",9.04695747471542
"83",1998,"Trend",9.07418969679446
"84",1999,"Trend",9.10142191887351
"85",2000,"Trend",9.12865414095255
"86",2001,"Trend",9.15588636303159
"87",2002,"Trend",9.18311858511063
"88",2003,"Trend",9.21035080718968
"89",2004,"Trend",9.23758302926872
"90",2005,"Trend",9.26481525134776
"91",2006,"Trend",9.29204747342681
"92",2007,"Trend",9.31927969550585
"93",2008,"Trend",9.34651191758489
"94",2009,"Trend",9.37374413966393
"95",2010,"Trend",9.40097636174298
"96",2011,"Trend",9.42820858382202
"97",2012,"Trend",9.45544080590106
"98",2013,"Trend",9.48267302798011
"99",2014,"Trend",9.50990525005915
"100",2015,"Trend",9.53713747213819
"101",2016,"Trend",9.56436969421723
"102",2017,"Trend",9.59160191629627
"103",2018,"Trend",9.61883413837531
"104",2019,"Trend",9.64606636045436
"105",1968,"Regime mean",8.68912800332075
"106",1969,"Regime mean",8.68912800332075
"107",1970,"Regime mean",8.68912800332075
"108",1971,"Regime mean",8.68912800332075
"109",1972,"Regime mean",8.68912800332075
"110",1973,"Regime mean",8.68912800332075
"111",1974,"Regime mean",8.68912800332075
"112",1975,"Regime mean",8.68912800332075
"113",1976,"Regime mean",8.68912800332075
"114",1977,"Regime mean",8.68912800332075
"115",1978,"Regime mean",8.68912800332075
"116",1979,"Regime mean",8.68912800332075
"117",1980,"Regime mean",8.68912800332075
"118",1981,"Regime mean",8.68912800332075
"119",1982,"Regime mean",8.68912800332075
"120",1983,"Regime mean",8.68912800332075
"121",1984,"Regime mean",8.68912800332075
"122",1985,"Regime mean",8.68912800332075
"123",1986,"Regime mean",8.68912800332075
"124",1987,"Regime mean",8.68912800332075
"125",1988,"Regime mean",8.68912800332075
"126",1989,"Regime mean",8.68912800332075
"127",1990,"Regime mean",8.68912800332075
"128",1991,"Regime mean",8.68912800332075
"129",1992,"Regime mean",8.68912800332075
"130",1993,"Regime mean",8.68912800332075
"131",1994,"Regime mean",8.68912800332075
"132",1995,"Regime mean",8.68912800332075
"133",1996,"Regime mean",8.68912800332075
"134",1997,"Regime mean",8.68912800332075
"135",1998,"Regime mean",8.68912800332075
"136",1999,"Regime mean",8.68912800332075
"137",2000,"Regime mean",8.68912800332075
"138",2001,"Regime mean",8.68912800332075
"139",2002,"Regime mean",8.68912800332075
"140",2003,"Regime mean",8.68912800332075
"141",2004,"Regime mean",8.68912800332075
"142",2005,"Regime mean",8.68912800332075
"143",2006,"Regime mean",8.68912800332075
"144",2007,"Regime mean",8.68912800332075
"145",2008,"Regime mean",8.68912800332075
"146",2009,"Regime mean",9.93011601187875
"147",2010,"Regime mean",9.93011601187875
"148",2011,"Regime mean",9.93011601187875
"149",2012,"Regime mean",9.93011601187875
"150",2013,"Regime mean",9.93011601187875
"151",2014,"Regime mean",9.93011601187875
"152",2015,"Regime mean",9.93011601187875
"153",2016,"Regime mean",9.93011601187875
"154",2017,"Regime mean",9.93011601187875
"155",2018,"Regime mean",9.93011601187875
"156",2019,"Regime mean",9.93011601187875
