"","Time","Appendicularians","Chaetognatha","Cirripedia","Echinodermata","Evadne spp.","Gastropoda","Hyperiidea","Penilia spp.","Plankton bio-volume","Salpa"
"1",1977,0.921068607441119,2.79856433640808,0,0,0,0,2.18516317980466,0,1.45359330949508,0
"2",1978,0,2.86956952220676,0,0,0,0,2.10719288315908,0,1.62551561462501,0
"3",1979,1.83022054879637,2.96598782108538,0,0,0.794709806622895,1.97374484809758,2.46621007733687,1.71989997502295,1.52177363227585,0
"4",1980,2.05136690573138,3.07219447410729,0,1.87112590533799,0.543137046953687,2.52942505471214,2.06741312793409,2.77896991902747,1.6375411453596,2.09771045186828
"5",1981,1.738312486492,3.30472722656615,0,2.46476309845073,0,2.03013980518905,1.97520774140016,2.0159082817716,1.59566164260546,0
"6",1982,1.92823609504111,2.2752245967033,0,0,0,1.64478555322554,1.33649227803869,0,1.56332158015379,2.50131469024275
"7",1983,1.53627389551372,2.49035769858594,0,0,0,2.02506726024379,1.38853267659615,1.24317934521095,1.49095375612891,1.45718160299792
"8",1984,2.03292155392948,2.11081657807669,0,0,0,1.23923319816596,1.42906337422428,1.25140823161931,1.51836311733389,2.34687508946654
"9",1985,3.06804308402774,3.0746874786321,0,1.80189387660242,0,1.90878790937974,1.67421695078267,1.85925349049155,1.51841038471557,2.2570219889766
"10",1986,2.31045150305452,3.18132817004275,0,3.2619936080646,1.00907294261877,1.61559283095483,1.87508874721481,0,1.40593446185391,1.12352246722397
"11",1987,1.35889899100214,3.14633778823121,0,1.19962532806863,0,2.15406233592832,2.80007085332721,0,1.49692350330217,0
"12",1988,1.61110218497127,3.08145641171963,0,0,0,0,2.44984242772511,0,1.58122160570003,1.9587467035729
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,2.47931923041583,2.96439164493318,0,0,0,1.93461334353376,2.92926458617909,0,1.53879562295907,0
"16",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1993,2.16202331053366,3.30207538973137,0,0,0,2.17185121672456,3.11329623898531,0,1.53105791780491,2.24037456034778
"18",1994,2.80313500956558,3.19282854643073,0,2.0724219486244,0,2.38556057603126,2.99347344435759,0,1.76971293960954,1.91467690849576
"19",1995,2.55843996209037,2.9051664344803,0,1.50642572837961,0.92928274009053,2.37362557515925,2.09275784737913,1.87157876112709,1.35173470944109,1.6136954429187
"20",1996,2.67070354833379,2.48294478069047,0,1.80761792247643,1.73815915800153,2.09033751170322,1.55464354120468,1.58608497764189,1.60476710251852,2.2582313766185
"21",1997,2.81953966418563,3.3533772383833,0,2.03911296584842,0,2.09018144106463,3.24822753224251,0,1.61793012772086,1.80414130873747
"22",1998,1.38627798054275,3.16636463464488,0,2.1126431339492,0,2.42548048741405,3.07263074641812,0,1.4844799106783,0
"23",1999,2.26652854824527,3.74880228992471,0,0,0,2.03773383097754,3.49079722198411,0,1.58244037263394,1.46773330052406
"24",2000,2.78989912159246,3.53241400427606,0,2.45290154403145,1.9100828957288,3.18480555826141,2.10951594371953,2.70986536926545,1.5909363935471,2.20073946824663
"25",2001,2.3172420534203,3.38383327792893,0,2.76599591034636,1.47383461882303,1.95794703787283,3.13448670797207,2.23086496155967,1.51790823389076,2.47345552966351
"26",2002,2.73479892131942,3.40663436255846,0,2.41374934657665,0,2.02636718720398,2.96905237084137,0,1.55874330902159,1.62607254730748
"27",2003,2.62052829934581,3.16991351185637,0,2.68695946404292,2.36296919221299,2.15799232488372,3.3460218746501,2.72571458441477,1.64343122939128,1.65716848464822
"28",2004,1.6878867233941,3.46700774766803,0,0,0,1.99785512556126,3.632976536702,0,1.44527157131932,0
