"","Time","Var","Value"
"1",1968,"Series",5.94420147592758
"2",1969,"Series",6.77914426534559
"3",1970,"Series",4.75384538295233
"4",1971,"Series",5.28380370790433
"5",1972,"Series",7.56456625300952
"6",1973,"Series",6.60938144380204
"7",1974,"Series",7.52524324141801
"8",1975,"Series",7.09774606648061
"9",1976,"Series",7.8593123600543
"10",1977,"Series",5.91858460911079
"11",1978,"Series",4.84179050433477
"12",1979,"Series",5.40229414127147
"13",1980,"Series",5.84342614617066
"14",1981,"Series",5.56605441803062
"15",1982,"Series",5.08451469700617
"16",1983,"Series",6.97489669522307
"17",1984,"Series",6.89368463755819
"18",1985,"Series",7.98244241872887
"19",1986,"Series",7.81582455547297
"20",1987,"Series",5.97039919489163
"21",1988,"Series",7.05705712927493
"22",1989,"Series",7.48239349968821
"23",1990,"Series",8.49497067124446
"24",1991,"Series",8.27573527548969
"25",1992,"Series",7.08090768668167
"26",1993,"Series",5.38419003329906
"27",1994,"Series",6.70429769517981
"28",1995,"Series",7.60227502297758
"29",1996,"Series",5.22730812976156
"30",1997,"Series",7.80239200623956
"31",1998,"Series",7.93947855513155
"32",1999,"Series",7.75114761624961
"33",2000,"Series",7.71727468240825
"34",2001,"Series",7.28312546661026
"35",2002,"Series",9.33007457050209
"36",2003,"Series",6.73843999845303
"37",2004,"Series",6.04230125908032
"38",2005,"Series",6.06295036103711
"39",2006,"Series",7.97623273708927
"40",2007,"Series",7.15971759063135
"41",2008,"Series",7.74533744897442
"42",2009,"Series",7.10034745423483
"43",2010,"Series",7.79981500320916
"44",2011,"Series",7.33947801133781
"45",2012,"Series",10.4526365847332
"46",2013,"Series",7.19545851924884
"47",2014,"Series",5.29825614779968
"48",2015,"Series",6.05322998696515
"49",2016,"Series",6.22071123553007
"50",2017,"Series",7.27015927811363
"51",2018,"Series",6.0209660959463
"52",2019,"Series",6.99623244709089
