"","Time","Var","Value"
"1",1992,"Series",32.7692843920763
"2",1993,"Series",32.9584113737661
"3",1994,"Series",33.3584020343392
"4",1995,"Series",33.1757372817322
"5",1996,"Series",32.3494261864386
"6",1997,"Series",33.0148581499971
"7",1998,"Series",32.352901929565
"8",1999,"Series",33.5906284272786
"9",2000,"Series",33.2290682624497
"10",2001,"Series",33.0431661814507
"11",2002,"Series",33.2948683526352
"12",2003,"Series",33.1237200037371
"13",2004,"Series",32.7329683335737
"14",2005,"Series",32.7382456888962
"15",2006,"Series",32.8724993309368
"16",2007,"Series",32.9028490304445
"17",2008,"Series",32.6666848956833
"18",2009,"Series",33.2387238067692
"19",2010,"Series",33.0455745225225
"20",2011,"Series",32.6647608057821
"21",2012,"Series",33.4280710039154
"22",2013,"Series",33.2260938160818
"23",2014,"Series",33.5695762151659
"24",2015,"Series",33.5442023990624
"25",2016,"Series",33.3042765658082
"26",2017,"Series",33.2998514405998
"27",2018,"Series",32.8160471901551
"28",2019,"Series",33.2360258778965
"29",1992,"Regime mean",32.8541459068449
"30",1993,"Regime mean",32.8541459068449
"31",1994,"Regime mean",32.8541459068449
"32",1995,"Regime mean",32.8541459068449
"33",1996,"Regime mean",32.8541459068449
"34",1997,"Regime mean",32.8541459068449
"35",1998,"Regime mean",32.8541459068449
"36",1999,"Regime mean",33.2562902455103
"37",2000,"Regime mean",33.2562902455103
"38",2001,"Regime mean",33.2562902455103
"39",2002,"Regime mean",33.2562902455103
"40",2003,"Regime mean",33.2562902455103
"41",2004,"Regime mean",32.857788301826
"42",2005,"Regime mean",32.857788301826
"43",2006,"Regime mean",32.857788301826
"44",2007,"Regime mean",32.857788301826
"45",2008,"Regime mean",32.857788301826
"46",2009,"Regime mean",32.857788301826
"47",2010,"Regime mean",32.857788301826
"48",2011,"Regime mean",32.857788301826
"49",2012,"Regime mean",33.3030180635856
"50",2013,"Regime mean",33.3030180635856
"51",2014,"Regime mean",33.3030180635856
"52",2015,"Regime mean",33.3030180635856
"53",2016,"Regime mean",33.3030180635856
"54",2017,"Regime mean",33.3030180635856
"55",2018,"Regime mean",33.3030180635856
"56",2019,"Regime mean",33.3030180635856
