"","Time","Var","Value"
"1",1998,"Series",1.33735543808806
"2",1999,"Series",1.31211409355281
"3",2000,"Series",1.63799957970312
"4",2002,"Series",1.44423958933659
"5",2003,"Series",1.81418660758978
"6",2004,"Series",2.19608555821561
"7",2005,"Series",1.16345295513016
"8",2006,"Series",1.3073314410866
"9",2007,"Series",1.31196642936962
"10",2008,"Series",1.61602524977596
"11",2009,"Series",0.683966992112889
"12",2011,"Series",1.45109821463704
"13",2012,"Series",0.891976974032658
"14",2014,"Series",1.46995101015886
"15",2015,"Series",1.15331256826107
"16",2016,"Series",1.05649284592239
"17",2018,"Series",1.19556046497075
"18",2019,"Series",0.908205734019192
"19",1998,"Trend",1.5930127257281
"20",1999,"Trend",1.5609567937113
"21",2000,"Trend",1.52890086169449
"22",2002,"Trend",1.49684492967769
"23",2003,"Trend",1.46478899766088
"24",2004,"Trend",1.43273306564407
"25",2005,"Trend",1.40067713362727
"26",2006,"Trend",1.36862120161046
"27",2007,"Trend",1.33656526959366
"28",2008,"Trend",1.30450933757686
"29",2009,"Trend",1.27245340556005
"30",2011,"Trend",1.24039747354325
"31",2012,"Trend",1.20834154152644
"32",2014,"Trend",1.17628560950963
"33",2015,"Trend",1.14422967749283
"34",2016,"Trend",1.11217374547602
"35",2018,"Trend",1.08011781345922
"36",2019,"Trend",1.04806188144241
"37",1998,"Regime mean",1.35547741246729
"38",1999,"Regime mean",1.35547741246729
"39",2000,"Regime mean",1.35547741246729
"40",2002,"Regime mean",1.35547741246729
"41",2003,"Regime mean",1.35547741246729
"42",2004,"Regime mean",1.35547741246729
"43",2005,"Regime mean",1.35547741246729
"44",2006,"Regime mean",1.35547741246729
"45",2007,"Regime mean",1.35547741246729
"46",2008,"Regime mean",1.35547741246729
"47",2009,"Regime mean",1.35547741246729
"48",2011,"Regime mean",1.35547741246729
"49",2012,"Regime mean",1.35547741246729
"50",2014,"Regime mean",1.35547741246729
"51",2015,"Regime mean",1.35547741246729
"52",2016,"Regime mean",1.35547741246729
"53",2018,"Regime mean",1.35547741246729
"54",2019,"Regime mean",0.908205734019192
