"","Time","Acartia spp.","Calanus finmarchicus","Centropages hamatus","Centropages typicus","Metridia lucens","Oithona spp.","Pseudocalanus spp.","Temora longicornis"
"1",1977,0,3.40519474452183,1.69810151969106,3.02749123142829,2.4887554575979,2.09337683338512,4.38518580848774,1.55390825197171
"2",1978,0,2.9075470395182,1.17095744701665,2.7472206112765,1.73473417118971,1.36642570230811,4.17267232988292,0.703519606369834
"3",1979,1.16569615482475,2.93985265469773,1.1869561448422,3.54803378324741,1.98165571100223,0.970816911182232,3.86991399338822,1.87513894399181
"4",1980,0.606786097511902,3.45550201328553,2.24010748018395,3.79291250190333,2.63029758852277,1.44359224390382,3.95151601935478,2.08013643711524
"5",1981,1.47444580572472,3.5801704601855,1.36527966137786,3.28468448863274,2.30619931316614,1.41445472931767,4.34646760551425,2.01812990877555
"6",1982,1.48517537706702,3.39521901084576,1.47310741568733,3.3022866291314,2.00158766788436,1.95219699710921,4.08047424567652,1.62938230211192
"7",1983,0.940691412834865,3.49282937629789,1.60619797790191,3.39676175238031,2.10010863026589,2.24244892043676,3.50905543800325,1.60923833028165
"8",1984,0.780027014913064,3.27023322231861,1.38161081985665,3.25093007188021,2.10897008520707,0.768374806776766,3.99643182700301,1.84135900830307
"9",1985,1.2635433962214,3.52429784247508,1.52668216206643,3.64737889016165,2.46701024054583,1.80206856771847,3.72786650914386,1.21398630748066
"10",1986,1.04528759989281,3.77987935784411,1.93179047367222,3.76112093513587,1.77196675027898,1.06057005089342,3.43562177200844,0
"11",1987,1.20871900360649,4.47371314869369,2.51517656140245,3.17248053892909,3.22821628283056,1.70162025877099,4.07785401472476,2.79697746903496
"12",1988,0.871438699656257,3.52293892732359,1.46550140582598,3.63050511117899,2.33254282663473,2.43283572345453,4.1302495300572,2.56546016048637
"13",1989,NA,NA,NA,NA,NA,NA,NA,NA
"14",1990,NA,NA,NA,NA,NA,NA,NA,NA
"15",1991,NA,NA,NA,NA,NA,NA,NA,NA
"16",1992,0.739634491720395,3.02522961821911,1.51666815995249,3.93888692158779,3.1009620493598,3.15962527995537,3.83024322353432,2.47347807301619
"17",1993,0.808699990084336,3.67157977047907,1.218102018845,3.70750984016197,3.35286252044866,3.28400255733211,4.10908796357705,2.97847332674036
"18",1994,NA,NA,NA,NA,NA,NA,NA,NA
"19",1995,0,2.94330291097298,1.89865946492426,4.12212014764539,2.92503735790447,2.86040687283719,3.36255602724909,2.44971723666734
"20",1996,0,3.56097235303546,2.60550069319576,4.1628592912773,3.31544586841297,2.95020654286779,3.89483266724036,2.79078105077361
"21",1997,0,2.14388340916601,1.81988757430167,4.18759757039048,3.07047795068022,3.49021507815922,4.12276591806363,3.06537488751397
"22",1998,0,3.96726790031399,2.75934029050444,4.26036593802895,3.35803457480514,3.33754583704893,4.26916844576686,3.54573169474474
"23",1999,0,3.2161113769751,1.4638138374363,4.17467121022325,3.62721120371297,3.36205802385492,4.09360798306849,2.31980385400386
"24",2000,0,3.09985398950628,1.54180071654386,4.52645438253397,2.3602887228665,3.06474731449074,3.81078586560942,1.86424202342356
"25",2001,0,2.45562785411304,2.15381641210694,4.52387333836317,3.40343323997394,3.53758134662598,3.64061898039127,2.9743027668272
"26",2002,0,2.54196867287159,1.48995113911442,4.27355899619637,2.61792737462458,3.03376835765311,2.74952201757872,1.66435237058368
"27",2003,0,3.66990599803689,1.36858143309386,4.09311453688138,3.13378068277294,3.10304053686301,3.14427420566415,2.39672709966018
"28",2004,0,4.12050365038496,1.18215532737335,3.63868290912888,3.09547781833776,3.17307591236067,3.70407540835503,1.88324319491378
"29",2005,0,3.91904233627175,1.94974701408513,2.95718256558938,3.11075464318438,2.90946290989424,4.12460278242845,2.53653984754835
"30",2006,0.815376670026467,3.76627286475963,1.25935017907173,3.8195747255553,3.07212816937507,2.43510711975311,3.07059466490667,0.950862627642558
"31",2007,0,2.70790675392593,1.41210139167346,3.83960793638686,2.29780767856464,2.52751004072354,1.92156782115662,1.58720337672661
"32",2008,0,3.64398437682376,1.57604641848999,3.94416595202957,2.37220673889483,2.18160594789033,3.97386311206942,2.16390016961794
"33",2009,0,3.57498584992342,1.83415841663372,3.94405358193992,2.70189967666378,2.43576881304299,3.18769673128722,2.18577692507063
"34",2010,0,3.605807078088,1.63774904381592,3.46557576346062,2.68380933423932,2.71019763802917,3.57241656629235,1.56437132123329
"35",2011,1.15722759008589,2.98321476432195,1.83567521694564,3.66796521285335,2.72967714113501,2.50882586396083,3.66481777645826,1.94005728595973
"36",2012,0,3.34315956870135,1.6575835681616,4.11794159855089,1.7076105062143,2.32522926052291,1.86166346811136,1.2428378242418
"37",2013,0,3.4807557669942,1.23254244932771,4.02260672688837,2.11856485880442,3.08865777554988,2.62085312338838,2.67830447798281
"38",2014,0,3.93719154875626,2.12424414021581,4.08286433773472,2.88942427684367,3.45765079506383,3.91004619254305,3.09551263384624
"39",2015,0,3.18155272537006,2.2243344107727,3.65476026407431,2.32328654260407,3.22074467660624,4.07397361820918,3.83681271956928
"40",2016,NA,NA,NA,NA,NA,NA,NA,NA
"41",2017,0,2.34920980016651,2.07638015404293,4.0285327540414,1.76154490262899,2.85285048584038,2.50312495083127,2.36061433456992
